u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.1999,0.4271,0.8720,-0.0552,0.0117,15.0638,-4.8377,0.0000,-0.0427,-0.0427,0.0526,0.0000,0.0000,0.0071,0.0028
0.1999,0.6205,0.8920,-0.0636,-0.0085,15.1308,-4.8397,0.0000,-0.0395,-0.0395,0.0402,0.0000,0.0000,-0.0051,-0.0020
0.1999,0.5921,0.9120,-0.0552,-0.0085,15.1899,-4.8425,0.0000,-0.0381,-0.0381,0.0356,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.6642,0.9320,-0.0468,-0.0085,15.2493,-4.8487,0.0000,-0.0401,-0.0401,0.0310,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.5878,0.9520,-0.0384,-0.0085,15.3331,-4.8640,0.0000,-0.0495,-0.0495,0.0271,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.5943,0.9720,-0.0300,-0.0085,15.3973,-4.8681,0.0000,-0.0490,-0.0490,0.0242,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.8476,0.9920,-0.0216,-0.0085,15.4604,-4.8678,0.0000,-0.0443,-0.0443,0.0213,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.6380,1.0120,-0.0147,-0.0085,15.5255,-4.8692,0.0000,-0.0411,-0.0411,0.0183,0.0000,0.0000,-0.0051,-0.0020
0.1999,0.6251,1.0320,-0.0172,-0.0073,15.6319,-4.8736,0.0000,-0.0379,-0.0379,0.0253,0.0000,0.0000,-0.0044,-0.0018
0.2000,0.6454,1.0520,-0.0183,-0.0073,15.7063,-4.8778,0.0000,-0.0363,-0.0363,0.0234,0.0000,0.0000,-0.0044,-0.0018
0.2000,1.0556,1.0720,-0.0172,-0.0073,15.7991,-4.8809,0.0000,-0.0321,-0.0321,0.0217,0.0000,0.0000,-0.0044,-0.0018
0.2000,0.7382,1.0920,-0.0164,-0.0073,15.8761,-4.8868,0.0000,-0.0319,-0.0319,0.0189,0.0000,0.0000,-0.0044,-0.0018
0.2000,0.9205,1.1120,-0.0141,-0.0073,15.9620,-4.8961,0.0000,-0.0345,-0.0345,0.0186,0.0000,0.0000,-0.0044,-0.0018
0.2000,0.7665,1.1320,-0.0095,-0.0073,16.0387,-4.9060,0.0000,-0.0384,-0.0384,0.0153,0.0000,0.0000,-0.0044,-0.0018
0.2000,0.8562,1.1520,-0.0045,-0.0073,16.1314,-4.9180,0.0000,-0.0431,-0.0431,0.0145,0.0000,0.0000,-0.0044,-0.0018
0.1999,0.7685,1.1720,-0.0032,-0.0073,16.2181,-4.9202,0.0000,-0.0385,-0.0385,0.0130,0.0000,0.0000,-0.0044,-0.0018
0.1999,0.9270,1.1920,0.0052,0.0313,16.3038,-4.9179,0.0000,-0.0277,-0.0277,0.0551,0.0000,0.0000,0.0189,0.0075
0.1999,0.8589,1.2120,-0.0032,0.0313,16.4082,-4.9204,0.0000,-0.0173,-0.0173,0.0541,0.0000,0.0000,0.0189,0.0075
0.1999,0.8497,1.2320,-0.0116,0.0313,16.5282,-4.9302,0.0000,-0.0124,-0.0124,0.0560,0.0000,0.0000,0.0189,0.0075
0.1999,1.0343,1.2520,-0.0199,0.0313,16.6319,-4.9297,0.0000,0.0008,0.0008,0.0543,0.0000,0.0000,0.0189,0.0075
0.2000,1.1937,1.2720,-0.0283,0.0313,16.7210,-4.9261,0.0000,0.0152,0.0152,0.0535,0.0000,0.0000,0.0189,0.0075
0.1999,1.0277,1.2920,-0.0366,0.0313,16.8195,-4.9317,0.0000,0.0217,0.0217,0.0525,0.0000,0.0000,0.0189,0.0075
0.2000,0.8839,1.3120,-0.0450,-0.0436,16.9100,-4.9504,0.0000,0.0128,0.0128,-0.0580,0.0000,0.0000,-0.0263,-0.0105
0.1999,0.9777,1.3320,-0.0366,-0.0436,16.9878,-4.9672,0.0000,-0.0030,-0.0030,-0.0609,0.0000,0.0000,-0.0263,-0.0105
0.1999,0.9177,1.3520,-0.0283,-0.0436,17.0886,-4.9665,0.0000,-0.0009,-0.0009,-0.0664,0.0000,0.0000,-0.0263,-0.0105
0.1999,0.7908,1.3720,-0.0200,-0.0436,17.1980,-4.9721,0.0000,-0.0050,-0.0050,-0.0692,0.0000,0.0000,-0.0263,-0.0105
0.1999,0.9974,1.3920,-0.0116,-0.0436,17.3169,-4.9783,0.0000,-0.0096,-0.0096,-0.0747,0.0000,0.0000,-0.0263,-0.0105
0.1999,1.0856,1.4120,-0.0032,-0.0436,17.4292,-4.9724,0.0000,-0.0021,-0.0021,-0.0755,0.0000,0.0000,-0.0263,-0.0105
0.2000,1.1800,1.4320,0.0052,-0.0028,17.5536,-4.9905,0.0000,-0.0179,-0.0179,-0.0312,0.0000,0.0000,-0.0017,-0.0007
0.2000,1.1144,1.4520,0.0136,-0.0028,17.6644,-5.0017,0.0000,-0.0226,-0.0226,-0.0324,0.0000,0.0000,-0.0017,-0.0007
0.1999,1.2459,1.4720,0.0220,-0.0028,17.7884,-5.0106,0.0000,-0.0243,-0.0243,-0.0307,0.0000,0.0000,-0.0017,-0.0007
0.2000,1.1045,1.4920,0.0304,-0.0028,17.9214,-5.0169,0.0000,-0.0228,-0.0228,-0.0296,0.0000,0.0000,-0.0017,-0.0007
0.2000,1.2324,1.5000,0.0388,-0.0028,18.0418,-5.0218,0.0000,-0.0208,-0.0208,-0.0287,0.0000,0.0000,-0.0017,-0.0007
0.2000,1.3211,1.5000,0.0472,-0.0028,18.1775,-5.0248,0.0000,-0.0159,-0.0159,-0.0241,0.0000,0.0000,-0.0017,-0.0007
0.2000,1.1946,1.5000,0.0000,-0.0259,18.3024,-5.0272,0.0000,-0.0079,-0.0079,0.0042,0.0000,0.0000,-0.0156,-0.0062
0.2000,1.3469,1.5000,0.0000,-0.0259,18.4258,-5.0294,0.0000,0.0003,0.0003,0.0092,0.0000,0.0000,-0.0156,-0.0062
0.2000,1.2253,1.5000,-0.0083,-0.0259,18.5551,-5.0375,0.0000,0.0032,0.0032,0.0156,0.0000,0.0000,-0.0156,-0.0062
0.2000,1.2253,1.5000,-0.0167,-0.0259,18.6852,-5.0374,0.0000,0.0142,0.0142,0.0179,0.0000,0.0000,-0.0156,-0.0062
0.2000,1.2253,1.5000,-0.0198,-0.0206,18.8370,-5.0413,0.0000,0.0239,0.0239,0.0271,0.0000,0.0000,-0.0124,-0.0050
0.0467,1.5065,1.5000,-0.0282,-0.0206,18.9910,-5.0482,0.0000,0.0308,0.0308,0.0278,0.0000,0.0000,-0.0124,-0.0050
0.0103,1.5065,1.5000,-0.0366,-0.0206,19.1409,-5.0596,0.0000,0.0329,0.0329,0.0246,0.0000,0.0000,-0.0124,-0.0050
-0.0013,1.5065,1.5000,-0.0450,-0.0206,19.2767,-5.0615,0.0000,0.0433,0.0433,0.0206,0.0000,0.0000,-0.0124,-0.0050
0.0170,1.4901,1.5000,-0.0534,-0.0293,19.4086,-5.0594,0.0000,0.0547,0.0547,-0.0115,0.0000,0.0000,-0.0176,-0.0071
0.2000,1.3461,1.5000,-0.0617,-0.0293,19.5359,-5.0607,0.0000,0.0613,0.0613,-0.0171,0.0000,0.0000,-0.0176,-0.0071
0.2000,1.2611,1.5000,-0.0543,-0.0293,19.6692,-5.0728,0.0000,0.0574,0.0574,-0.0217,0.0000,0.0000,-0.0176,-0.0071
0.2000,1.2611,1.5000,-0.0459,-0.0293,19.8283,-5.0905,0.0000,0.0495,0.0495,-0.0279,0.0000,0.0000,-0.0176,-0.0071
0.2000,1.3270,1.5000,-0.0391,-0.0203,19.9686,-5.1044,0.0000,0.0468,0.0468,-0.0074,0.0000,0.0000,-0.0122,-0.0049
-0.0001,1.5881,1.5000,-0.0473,-0.0203,20.1285,-5.1200,0.0000,0.0458,0.0458,-0.0137,0.0000,0.0000,-0.0122,-0.0049
0.1517,1.3988,1.5000,-0.0479,-0.0203,20.2836,-5.1374,0.0000,0.0427,0.0427,-0.0185,0.0000,0.0000,-0.0122,-0.0049
-0.0482,1.5924,1.5000,-0.0503,-0.0310,20.4431,-5.1573,0.0000,0.0359,0.0359,-0.0538,0.0000,0.0000,-0.0187,-0.0075
-0.0611,1.5477,1.5000,-0.0419,-0.0310,20.6062,-5.1777,0.0000,0.0258,0.0258,-0.0557,0.0000,0.0000,-0.0187,-0.0075
-0.1100,1.5947,1.5000,-0.0335,-0.0310,20.7413,-5.1850,0.0000,0.0272,0.0272,-0.0646,0.0000,0.0000,-0.0187,-0.0075
-0.1888,1.6295,1.5000,-0.0251,-0.0310,20.8802,-5.2032,0.0000,0.0178,0.0178,-0.0692,0.0000,0.0000,-0.0187,-0.0075
0.0114,1.3396,1.5000,-0.0167,-0.0038,21.0261,-5.2176,0.0000,0.0197,0.0197,-0.0158,0.0000,0.0000,-0.0023,-0.0009
0.1750,1.3890,1.5000,-0.0083,-0.0038,21.1819,-5.2370,0.0000,0.0196,0.0196,-0.0191,0.0000,0.0000,-0.0023,-0.0009
0.1036,1.4517,1.5000,-0.0005,-0.0038,21.3269,-5.2425,0.0000,0.0320,0.0320,-0.0228,0.0000,0.0000,-0.0023,-0.0009
-0.0385,1.5571,1.5000,-0.0005,-0.0107,21.4920,-5.2573,0.0000,0.0376,0.0376,-0.0268,0.0000,0.0000,-0.0064,-0.0026
0.0704,1.4365,1.5000,0.0047,-0.0107,21.6319,-5.2750,0.0000,0.0368,0.0368,-0.0286,0.0000,0.0000,-0.0064,-0.0026
-0.1296,1.6427,1.5000,-0.0036,-0.0107,21.7891,-5.2882,0.0000,0.0426,0.0426,-0.0253,0.0000,0.0000,-0.0064,-0.0026
0.0704,1.3980,1.5000,-0.0120,-0.0107,21.9253,-5.3070,0.0000,0.0403,0.0403,-0.0266,0.0000,0.0000,-0.0064,-0.0026
-0.0607,1.5652,1.5000,-0.0204,-0.0444,22.0603,-5.3201,0.0000,0.0423,0.0423,-0.0374,0.0000,0.0000,-0.0268,-0.0107
0.1396,1.3632,1.5000,-0.0247,-0.0444,22.1849,-5.3286,0.0000,0.0475,0.0475,-0.0370,0.0000,0.0000,-0.0268,-0.0107
0.1998,1.3444,1.5000,-0.0331,-0.0444,22.3413,-5.3382,0.0000,0.0549,0.0549,-0.0366,0.0000,0.0000,-0.0268,-0.0107
0.2000,1.2386,1.5000,-0.0247,-0.0444,22.4740,-5.3556,0.0000,0.0520,0.0520,-0.0408,0.0000,0.0000,-0.0268,-0.0107
-0.0000,1.5535,1.5000,-0.0250,-0.0363,22.6129,-5.3681,0.0000,0.0560,0.0560,-0.0278,0.0000,0.0000,-0.0219,-0.0087
0.1998,1.3264,1.5000,-0.0334,-0.0363,22.7409,-5.3796,0.0000,0.0607,0.0607,-0.0315,0.0000,0.0000,-0.0219,-0.0087
0.2000,1.3823,1.5000,-0.0418,-0.0363,22.8963,-5.3939,0.0000,0.0659,0.0659,-0.0313,0.0000,0.0000,-0.0219,-0.0087
0.2000,1.2729,1.5000,-0.0359,-0.0363,23.0298,-5.3988,0.0000,0.0777,0.0777,-0.0366,0.0000,0.0000,-0.0219,-0.0087
0.0030,1.5472,1.5000,-0.0443,-0.0894,23.1557,-5.4158,0.0000,0.0761,0.0761,-0.0546,0.0000,0.0000,-0.0540,-0.0216
0.1997,1.3211,1.5000,-0.0526,-0.0894,23.2918,-5.4237,0.0000,0.0835,0.0835,-0.0597,0.0000,0.0000,-0.0540,-0.0216
0.2000,1.2596,1.5000,-0.0442,-0.0894,23.4394,-5.4534,0.0000,0.0706,0.0706,-0.0651,0.0000,0.0000,-0.0540,-0.0216
0.2000,1.3487,1.5000,-0.0358,-0.0894,23.5770,-5.4747,0.0000,0.0648,0.0648,-0.0728,0.0000,0.0000,-0.0540,-0.0216
0.0626,1.4936,1.5000,-0.0275,-0.0894,23.7115,-5.4936,0.0000,0.0611,0.0611,-0.0783,0.0000,0.0000,-0.0540,-0.0216
0.1957,1.3799,1.5000,-0.0191,-0.0492,23.8583,-5.5221,0.0000,0.0522,0.0522,-0.0636,0.0000,0.0000,-0.0296,-0.0119
0.2000,1.3451,1.5000,-0.0107,-0.0492,24.0064,-5.5437,0.0000,0.0502,0.0502,-0.0681,0.0000,0.0000,-0.0296,-0.0119
0.0717,1.4826,1.5000,-0.0023,-0.0492,24.1346,-5.5665,0.0000,0.0443,0.0443,-0.0739,0.0000,0.0000,-0.0296,-0.0119
0.0412,1.4827,1.5000,0.0061,-0.0492,24.2786,-5.5927,0.0000,0.0373,0.0373,-0.0730,0.0000,0.0000,-0.0296,-0.0119
0.2000,1.2905,1.5000,-0.0023,-0.0918,24.4220,-5.6201,0.0000,0.0300,0.0300,-0.0661,0.0000,0.0000,-0.0555,-0.0222
0.1119,1.4517,1.5000,0.0061,-0.0918,24.5542,-5.6500,0.0000,0.0188,0.0188,-0.0679,0.0000,0.0000,-0.0555,-0.0222
0.0866,1.4469,1.5000,0.0145,-0.0918,24.6871,-5.6697,0.0000,0.0178,0.0178,-0.0658,0.0000,0.0000,-0.0555,-0.0222
0.1846,1.3439,1.5000,0.0229,-0.0918,24.8196,-5.6907,0.0000,0.0156,0.0156,-0.0685,0.0000,0.0000,-0.0555,-0.0222
0.2000,1.3333,1.5000,0.0313,-0.0587,24.9587,-5.7249,0.0000,0.0069,0.0069,-0.0233,0.0000,0.0000,-0.0354,-0.0142
0.2000,1.3294,1.5000,0.0230,-0.0587,25.0949,-5.7488,0.0000,0.0080,0.0080,-0.0187,0.0000,0.0000,-0.0354,-0.0142
0.1573,1.4197,1.5000,0.0146,-0.0587,25.2197,-5.7762,0.0000,0.0037,0.0037,-0.0162,0.0000,0.0000,-0.0354,-0.0142
0.1998,1.3716,1.5000,0.0062,-0.1157,25.3639,-5.8002,0.0000,0.0062,0.0062,-0.0110,0.0000,0.0000,-0.0700,-0.0280
0.2000,1.2662,1.5000,-0.0022,-0.1157,25.5069,-5.8175,0.0000,0.0154,0.0154,-0.0093,0.0000,0.0000,-0.0700,-0.0280
0.1058,1.4498,1.5000,-0.0106,-0.1157,25.6505,-5.8296,0.0000,0.0298,0.0298,-0.0072,0.0000,0.0000,-0.0700,-0.0280
0.0999,1.4288,1.5000,-0.0190,-0.1157,25.7892,-5.8484,0.0000,0.0367,0.0367,-0.0066,0.0000,0.0000,-0.0700,-0.0280
0.0957,1.4296,1.5000,-0.0274,-0.1223,25.9330,-5.8785,0.0000,0.0389,0.0389,0.0636,0.0000,0.0000,-0.0740,-0.0296
0.1323,1.3884,1.5000,-0.0358,-0.1223,26.0830,-5.8973,0.0000,0.0588,0.0588,0.0630,0.0000,0.0000,-0.0740,-0.0296
0.0805,1.4563,1.5000,-0.0442,-0.1223,26.2189,-5.9152,0.0000,0.0760,0.0760,0.0584,0.0000,0.0000,-0.0740,-0.0296
0.0234,1.4986,1.5000,-0.0526,-0.1223,26.3498,-5.9353,0.0000,0.0898,0.0898,0.0543,0.0000,0.0000,-0.0740,-0.0296
0.1533,1.3573,1.5000,-0.0610,-0.1744,26.4874,-5.9645,0.0000,0.0909,0.0909,-0.0021,0.0000,0.0000,-0.1061,-0.0424
0.2000,1.3125,1.5000,-0.0694,-0.1744,26.6434,-6.0005,0.0000,0.0874,0.0874,-0.0056,0.0000,0.0000,-0.1061,-0.0424
0.1623,1.3953,1.5000,-0.0778,-0.1744,26.7822,-6.0247,0.0000,0.0921,0.0921,-0.0144,0.0000,0.0000,-0.1061,-0.0424
-0.0377,1.5875,1.5000,-0.0862,-0.1744,26.9184,-6.0502,0.0000,0.0949,0.0949,-0.0206,0.0000,0.0000,-0.1061,-0.0424
0.0991,1.3955,1.5000,-0.0778,-0.1244,27.0624,-6.0812,0.0000,0.1006,0.1006,0.0555,0.0000,0.0000,-0.0753,-0.0301
0.1552,1.3727,1.5000,-0.0862,-0.1244,27.2031,-6.1160,0.0000,0.1074,0.1074,0.0495,0.0000,0.0000,-0.0753,-0.0301
0.0849,1.4596,1.5000,-0.0946,-0.1244,27.3435,-6.1525,0.0000,0.1124,0.1124,0.0390,0.0000,0.0000,-0.0753,-0.0301
0.0855,1.4378,1.5000,-0.1030,-0.1244,27.4870,-6.1903,0.0000,0.1171,0.1171,0.0307,0.0000,0.0000,-0.0753,-0.0301
0.0817,1.4396,1.5000,-0.1114,-0.1740,27.6333,-6.2257,0.0000,0.1236,0.1236,0.0142,0.0000,0.0000,-0.1059,-0.0423
0.0504,1.4725,1.5000,-0.1198,-0.1740,27.7609,-6.2697,0.0000,0.1164,0.1164,0.0048,0.0000,0.0000,-0.1059,-0.0423
0.0232,1.4915,1.5000,-0.1282,-0.1740,27.8984,-6.3104,0.0000,0.1151,0.1151,-0.0058,0.0000,0.0000,-0.1059,-0.0423
0.1668,1.3419,1.5000,-0.1198,-0.1104,28.0410,-6.3534,0.0000,0.1143,0.1143,0.0768,0.0000,0.0000,-0.0668,-0.0267
0.1280,1.4229,1.5000,-0.1282,-0.1104,28.1880,-6.3910,0.0000,0.1327,0.1327,0.0667,0.0000,0.0000,-0.0668,-0.0267
0.0576,1.4776,1.5000,-0.1365,-0.1104,28.3111,-6.4307,0.0000,0.1402,0.1402,0.0560,0.0000,0.0000,-0.0668,-0.0267
0.0178,1.5022,1.5000,-0.1449,-0.1104,28.4458,-6.4812,0.0000,0.1420,0.1420,0.0487,0.0000,0.0000,-0.0668,-0.0267
