u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.0001,0.0201,0.0067,0.0248,-1.6308,-22.1213,0.0000,-0.0889,-0.0889,0.0744,0.0000,0.0000,0.0149,0.0060
0.2000,0.0001,0.0401,0.0000,0.0248,-1.6245,-22.1244,0.0000,-0.0822,-0.0822,0.0728,0.0000,0.0000,0.0149,0.0060
0.2000,0.0001,0.0601,-0.0067,0.0248,-1.6308,-22.1220,0.0000,-0.0889,-0.0889,0.0742,0.0000,0.0000,0.0149,0.0060
0.2000,0.0626,0.0801,-0.0134,0.0248,-1.6266,-22.1240,0.0000,-0.0844,-0.0844,0.0723,0.0000,0.0000,0.0149,0.0060
0.2000,0.0609,0.1001,-0.0201,0.0248,-1.6245,-22.1257,0.0000,-0.0821,-0.0821,0.0726,0.0000,0.0000,0.0149,0.0060
0.2000,0.0001,0.1201,-0.0260,0.0248,-1.6266,-22.1238,0.0000,-0.0844,-0.0844,0.0733,0.0000,0.0000,0.0149,0.0060
0.1999,0.0001,0.1401,-0.0321,0.0248,-1.6285,-22.1275,0.0000,-0.0858,-0.0858,0.0728,0.0000,0.0000,0.0149,0.0060
0.1999,0.0001,0.1601,-0.0385,0.0248,-1.6313,-22.1211,0.0000,-0.0895,-0.0895,0.0734,0.0000,0.0000,0.0149,0.0060
0.1999,0.0001,0.1801,-0.0452,0.0248,-1.6275,-22.1260,0.0000,-0.0850,-0.0850,0.0716,0.0000,0.0000,0.0149,0.0060
0.1999,0.0678,0.2001,-0.0518,0.0248,-1.6307,-22.1188,0.0000,-0.0892,-0.0892,0.0710,0.0000,0.0000,0.0149,0.0060
0.2000,0.0550,0.2201,-0.0542,0.0248,-1.6330,-22.1190,0.0000,-0.0914,-0.0914,0.0719,0.0000,0.0000,0.0149,0.0060
0.2000,0.0001,0.2401,-0.0542,0.0248,-1.6352,-22.1140,0.0000,-0.0944,-0.0944,0.0731,0.0000,0.0000,0.0149,0.0060
0.2000,0.0001,0.2601,-0.0514,0.0248,-1.6371,-22.1162,0.0000,-0.0959,-0.0959,0.0705,0.0000,0.0000,0.0149,0.0060
0.2000,0.0001,0.2801,-0.0484,0.0248,-1.6351,-22.1148,0.0000,-0.0942,-0.0942,0.0704,0.0000,0.0000,0.0149,0.0060
0.2000,0.0001,0.3001,-0.0465,0.0248,-1.6298,-22.1170,0.0000,-0.0886,-0.0886,0.0699,0.0000,0.0000,0.0149,0.0060
0.2000,0.0001,0.3201,-0.0433,0.0248,-1.6342,-22.1176,0.0000,-0.0929,-0.0929,0.0705,0.0000,0.0000,0.0149,0.0060
0.2000,0.0548,0.3401,-0.0400,0.0248,-1.6333,-22.1245,0.0000,-0.0909,-0.0909,0.0701,0.0000,0.0000,0.0149,0.0060
0.2000,0.0001,0.3601,-0.0365,0.0248,-1.6384,-22.1300,0.0000,-0.0952,-0.0952,0.0705,0.0000,0.0000,0.0149,0.0060
0.2000,0.0732,0.3801,-0.0320,0.0248,-1.6399,-22.1390,0.0000,-0.0953,-0.0953,0.0699,0.0000,0.0000,0.0149,0.0060
0.2000,0.0732,0.4001,-0.0283,0.0248,-1.6433,-22.1480,0.0000,-0.0973,-0.0973,0.0708,0.0000,0.0000,0.0149,0.0060
0.2000,0.0903,0.4201,-0.0248,0.0248,-1.6435,-22.1621,0.0000,-0.0954,-0.0954,0.0690,0.0000,0.0000,0.0149,0.0060
0.1999,0.0942,0.4401,-0.0216,0.0248,-1.6456,-22.1793,0.0000,-0.0949,-0.0949,0.0681,0.0000,0.0000,0.0149,0.0060
0.2000,0.1403,0.4601,-0.0185,0.0248,-1.6474,-22.1960,0.0000,-0.0942,-0.0942,0.0678,0.0000,0.0000,0.0149,0.0060
0.2000,0.1718,0.4801,-0.0157,0.0248,-1.6495,-22.2168,0.0000,-0.0932,-0.0932,0.0671,0.0000,0.0000,0.0149,0.0060
0.1999,0.1666,0.5001,-0.0146,0.0248,-1.6500,-22.2429,0.0000,-0.0898,-0.0898,0.0670,0.0000,0.0000,0.0149,0.0060
0.2000,0.2075,0.5201,-0.0138,0.0248,-1.6535,-22.2761,0.0000,-0.0883,-0.0883,0.0665,0.0000,0.0000,0.0149,0.0060
0.2000,0.2586,0.5401,-0.0126,0.0248,-1.6582,-22.3051,0.0000,-0.0886,-0.0886,0.0664,0.0000,0.0000,0.0149,0.0060
0.2000,0.3304,0.5601,-0.0135,0.0248,-1.6572,-22.3365,0.0000,-0.0829,-0.0829,0.0657,0.0000,0.0000,0.0149,0.0060
0.2000,0.2916,0.5801,-0.0143,0.0248,-1.6629,-22.3739,0.0000,-0.0829,-0.0829,0.0654,0.0000,0.0000,0.0149,0.0060
0.2000,0.3117,0.6001,-0.0156,0.0248,-1.6651,-22.4056,0.0000,-0.0804,-0.0804,0.0646,0.0000,0.0000,0.0149,0.0060
0.2000,0.3753,0.6201,-0.0183,0.0248,-1.6672,-22.4498,0.0000,-0.0759,-0.0759,0.0641,0.0000,0.0000,0.0149,0.0060
0.2000,0.3143,0.6401,-0.0116,0.0286,-1.6746,-22.4893,0.0000,-0.0773,-0.0773,0.0559,0.0000,0.0000,0.0172,0.0069
0.2000,0.4385,0.6601,-0.0091,0.0286,-1.6736,-22.5303,0.0000,-0.0705,-0.0705,0.0549,0.0000,0.0000,0.0172,0.0069
0.2000,0.3995,0.6801,-0.0078,0.0286,-1.6803,-22.5796,0.0000,-0.0702,-0.0702,0.0542,0.0000,0.0000,0.0172,0.0069
