u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,1.1288,1.6000,-0.0068,0.0286,21.2733,-83.2753,-3.3278,-0.0913,-0.0913,0.0589,0.0000,0.0000,0.0172,0.0069
0.2000,1.1375,1.6400,-0.0019,0.0289,21.1570,-83.2485,-3.3278,-0.0894,-0.0894,0.0510,0.0000,0.0000,0.0174,0.0070
0.2000,1.2571,1.6800,0.0011,0.0289,21.0380,-83.2193,-3.3285,-0.0898,-0.0898,0.0503,0.0000,0.0000,0.0174,0.0070
0.2000,1.1941,1.7200,0.0010,0.0289,20.9005,-83.1975,-3.3293,-0.0787,-0.0787,0.0495,0.0000,0.0000,0.0174,0.0070
0.1999,1.2260,1.7584,-0.0002,0.0289,20.7668,-83.1731,-3.3295,-0.0710,-0.0710,0.0493,0.0000,0.0000,0.0174,0.0070
0.1999,1.3927,1.7894,0.0043,0.0316,20.6225,-83.1488,-3.3297,-0.0612,-0.0612,0.0415,0.0000,0.0000,0.0191,0.0076
0.1999,1.3605,1.8160,0.0038,0.0316,20.4757,-83.1177,-3.3292,-0.0580,-0.0580,0.0420,0.0000,0.0000,0.0191,0.0076
0.1999,1.4644,1.8374,0.0025,0.0316,20.3272,-83.0884,-3.3298,-0.0528,-0.0528,0.0413,0.0000,0.0000,0.0191,0.0076
0.1999,1.5012,1.8552,0.0092,0.0344,20.1683,-83.0580,-3.3296,-0.0466,-0.0466,0.0339,0.0000,0.0000,0.0207,0.0083
0.1999,1.5144,1.8701,0.0082,0.0344,20.0176,-83.0310,-3.3285,-0.0398,-0.0398,0.0351,0.0000,0.0000,0.0207,0.0083
0.2000,1.6184,1.8813,0.0049,0.0344,19.8527,-83.0009,-3.3286,-0.0327,-0.0327,0.0350,0.0000,0.0000,0.0207,0.0083
0.1999,1.5313,1.8921,0.0071,0.0330,19.6785,-82.9660,-3.3279,-0.0287,-0.0287,0.0279,0.0000,0.0000,0.0199,0.0080
0.2000,1.6767,1.8991,0.0020,0.0330,19.5016,-82.9386,-3.3262,-0.0179,-0.0179,0.0296,0.0000,0.0000,0.0199,0.0080
0.2000,1.7770,1.9036,-0.0007,0.0330,19.3372,-82.9080,-3.3263,-0.0129,-0.0129,0.0295,0.0000,0.0000,0.0199,0.0080
0.2005,1.7913,1.9071,-0.0074,0.0288,19.1589,-82.8778,-3.3256,-0.0048,-0.0048,0.0256,0.0000,0.0000,0.0174,0.0070
