"u_a","v_real","v_ref","u_delta","delta_d","px","py","theta1","cte","cte_real","epsi","vx","vy","kappa","beta"
0.0532,0.7409,0.7426,0.0065,-0.0767,5.9394,0.7087,0,-0.0095,-0.0095,-0.0155,0.7198,0.1757,-0.0463,-0.0185
0.0431,0.7462,0.7467,0,-0.0858,6.0119,0.7264,0,-0.0098,-0.0098,0.0007,0.7249,0.1772,-0.0518,-0.0207
0.035,0.7505,0.7501,0,-0.0858,6.0848,0.7442,0,-0.0098,-0.0098,0.0007,0.7291,0.1782,-0.0518,-0.0207
0.0285,0.754,0.7531,0,-0.0858,6.1581,0.7621,0,-0.0097,-0.0097,0.0007,0.7325,0.179,-0.0518,-0.0207
0.0232,0.7569,0.7555,0,-0.0858,6.2316,0.7801,0,-0.0097,-0.0097,0.0007,0.7352,0.1797,-0.0518,-0.0207
0.0189,0.7592,0.7577,0,-0.0858,6.3053,0.7981,0,-0.0096,-0.0096,0.0007,0.7375,0.1803,-0.0518,-0.0207
0.0155,0.7611,0.7595,0,-0.0858,6.3793,0.8162,0,-0.0096,-0.0096,0.0007,0.7393,0.1807,-0.0518,-0.0207
0.0127,0.7627,0.761,-0.0067,-0.0863,6.4534,0.8343,0,-0.0093,-0.0093,0.0214,0.7408,0.1811,-0.0521,-0.0208
0.0104,0.7639,0.7623,-0.0134,-0.0863,6.5276,0.8524,0,-0.0077,-0.0077,0.0211,0.7421,0.1811,-0.0521,-0.0208
0.0085,0.765,0.7634,-0.0201,-0.0863,6.6019,0.8705,0,-0.0061,-0.0061,0.0205,0.7433,0.1809,-0.0521,-0.0208
0.0071,0.7658,0.7644,-0.0268,-0.0863,6.6763,0.8885,0,-0.0046,-0.0046,0.0196,0.7443,0.1804,-0.0521,-0.0208
0.0058,0.7665,0.7652,-0.0335,-0.0863,6.7508,0.9065,0,-0.0032,-0.0032,0.0184,0.7452,0.1797,-0.0521,-0.0208
0.0048,0.7671,0.7658,-0.0402,-0.0863,6.8254,0.9244,0,-0.0019,-0.0019,0.0168,0.746,0.1787,-0.0521,-0.0208
0.0038,0.7676,0.7664,-0.0469,-0.0863,6.9001,0.9421,0,-0.0008,-0.0008,0.0149,0.7468,0.1774,-0.0521,-0.0208
0.0032,0.768,0.7669,-0.0456,-0.0779,6.9749,0.9597,0,0.0016,0.0016,0.0426,0.7476,0.1759,-0.047,-0.0188
0.0026,0.7683,0.7673,-0.0523,-0.0779,7.0497,0.9771,0,0.0047,0.0047,0.0405,0.7482,0.1744,-0.047,-0.0188
0.0021,0.7685,0.7677,-0.059,-0.0779,7.1246,0.9944,0,0.0076,0.0076,0.0381,0.7489,0.1726,-0.047,-0.0188
0.0017,0.7688,0.768,-0.0657,-0.0779,7.1996,1.0114,0,0.0103,0.0103,0.0353,0.7496,0.1706,-0.047,-0.0188
0.0014,0.7689,0.7682,-0.0724,-0.0779,7.2746,1.0283,0,0.0128,0.0128,0.0323,0.7503,0.1684,-0.047,-0.0188
0.0011,0.7691,0.7685,-0.0791,-0.0779,7.3497,1.0449,0,0.015,0.015,0.0289,0.751,0.1659,-0.047,-0.0188
0.0009,0.7692,0.7686,-0.0724,-0.0568,7.4248,1.0612,0,0.0173,0.0173,0.0595,0.7517,0.1631,-0.0343,-0.0137
0.0008,0.7693,0.7688,-0.0791,-0.0568,7.5001,1.0772,0,0.0216,0.0216,0.0561,0.7523,0.1606,-0.0343,-0.0137
0.0006,0.7693,0.7689,-0.0858,-0.0568,7.5754,1.093,0,0.0256,0.0256,0.0525,0.753,0.1579,-0.0343,-0.0137
0.0005,0.7694,0.7691,-0.0925,-0.0568,7.6507,1.1085,0,0.0294,0.0294,0.0485,0.7537,0.1549,-0.0343,-0.0137
0.0004,0.7695,0.7692,-0.0992,-0.0568,7.7262,1.1237,0,0.0328,0.0328,0.0442,0.7544,0.1517,-0.0343,-0.0137
0.0003,0.7695,0.7692,-0.1059,-0.0568,7.8017,1.1385,0,0.0358,0.0358,0.0396,0.7551,0.1482,-0.0343,-0.0137
0.0002,0.7695,0.7693,-0.1126,-0.0568,7.8773,1.1529,0,0.0385,0.0385,0.0346,0.7558,0.1445,-0.0343,-0.0137
0.1998,0.7695,0.8093,-0.1059,-0.0375,7.9529,1.167,0,0.0421,0.0421,0.0578,0.7566,0.1405,-0.0226,-0.009
0.1999,0.7895,0.8493,-0.1125,-0.0375,8.0306,1.181,0,0.0463,0.0463,0.0527,0.777,0.1402,-0.0226,-0.009
0.1999,0.8095,0.8893,-0.1192,-0.0375,8.1104,1.195,0,0.0501,0.0501,0.0472,0.7974,0.1394,-0.0226,-0.009
0.1999,0.8295,0.9293,-0.1259,-0.0375,8.1922,1.2088,0,0.0535,0.0535,0.0412,0.818,0.1379,-0.0226,-0.009
0.1999,0.8495,0.9693,-0.1326,-0.0375,8.276,1.2223,0,0.0565,0.0565,0.0347,0.8386,0.1358,-0.0226,-0.009
0.1999,0.8695,1.0093,-0.1391,-0.0375,8.3619,1.2356,0,0.0589,0.0589,0.0278,0.8593,0.133,-0.0226,-0.009
0.1999,0.8895,1.0493,-0.1327,-0.0243,8.45,1.2486,0,0.0615,0.0615,0.0369,0.88,0.1295,-0.0147,-0.0059
0.1999,0.9095,1.0893,-0.126,-0.0243,8.54,1.2612,0,0.0642,0.0642,0.0296,0.9007,0.1258,-0.0147,-0.0059
0.1999,0.9295,1.1293,-0.1193,-0.0243,8.6322,1.2734,0,0.0663,0.0663,0.0225,0.9214,0.1221,-0.0147,-0.0059
0.1999,0.9495,1.1693,-0.1126,-0.0243,8.7264,1.2852,0,0.0678,0.0678,0.0156,0.9421,0.1182,-0.0147,-0.0059
0.1999,0.9695,1.2093,-0.1059,-0.0243,8.8226,1.2966,0,0.0687,0.0687,0.009,0.9627,0.1144,-0.0147,-0.0059
0.1999,0.9894,1.2493,-0.0992,-0.0173,8.921,1.3077,0,0.0691,0.0691,0.0109,0.9833,0.1105,-0.0104,-0.0042
0.1999,1.0094,1.2893,-0.0925,-0.0173,9.0213,1.3183,0,0.0696,0.0696,0.0048,1.0038,0.1066,-0.0104,-0.0042
0.1999,1.0294,1.3293,-0.0861,-0.0173,9.1238,1.3286,0,0.0695,0.0695,-0.0009,1.0243,0.1029,-0.0104,-0.0042
0.1999,1.0494,1.3693,-0.0794,-0.0173,9.2282,1.3385,0,0.0689,0.0689,-0.0064,1.0447,0.0992,-0.0104,-0.0042
0.1999,1.0694,1.4093,-0.0727,-0.0173,9.3348,1.3481,0,0.0676,0.0676,-0.0115,1.0651,0.0956,-0.0104,-0.0042
0.1999,1.0894,1.4493,-0.0692,-0.0205,9.4433,1.3573,0,0.0658,0.0658,-0.0183,1.0855,0.0922,-0.0124,-0.005
0.1999,1.1094,1.4893,-0.0625,-0.0205,9.5539,1.3662,0,0.0632,0.0632,-0.0229,1.1058,0.0888,-0.0124,-0.005
0.1999,1.1294,1.5293,-0.0559,-0.0205,9.6665,1.3748,0,0.0601,0.0601,-0.0272,1.1261,0.0856,-0.0124,-0.005
0.2,1.1494,1.5693,-0.0492,-0.0205,9.7811,1.383,0,0.0566,0.0566,-0.031,1.1464,0.0826,-0.0124,-0.005
0.2,1.1694,1.6093,-0.0474,-0.0254,9.8978,1.391,0,0.0526,0.0526,-0.0294,1.1666,0.08,-0.0153,-0.0061
0.2,1.1894,1.6493,-0.0407,-0.0254,10.0165,1.3988,0,0.0487,0.0487,-0.0328,1.1869,0.0774,-0.0153,-0.0061
0.2,1.2094,1.6893,-0.034,-0.0254,10.1372,1.4063,0,0.0444,0.0444,-0.0357,1.2071,0.0751,-0.0153,-0.0061
0.2,1.2294,1.7293,-0.0273,-0.0254,10.2599,1.4136,0,0.0397,0.0397,-0.0382,1.2272,0.0732,-0.0153,-0.0061
0.2,1.2494,1.7693,-0.0206,-0.0254,10.3847,1.4208,0,0.0346,0.0346,-0.0403,1.2473,0.0719,-0.0153,-0.0061
0.2,1.2694,1.8093,-0.0139,-0.0248,10.5114,1.4279,0,0.0303,0.0303,-0.0332,1.2674,0.071,-0.015,-0.006
0.2,1.2894,1.8493,-0.0072,-0.0248,10.6401,1.435,0,0.0259,0.0259,-0.0343,1.2874,0.0708,-0.015,-0.006
0.2,1.3094,1.8893,-0.0005,-0.0248,10.7709,1.4421,0,0.0214,0.0214,-0.0349,1.3075,0.0711,-0.015,-0.006
0.1999,1.3294,1.913,0.0005,-0.0255,10.9036,1.4493,0,0.0168,0.0168,-0.0289,1.3274,0.0721,-0.0153,-0.0061
0.1999,1.3494,1.9303,0.0026,-0.0255,11.0384,1.4566,0,0.0129,0.0129,-0.0289,1.3474,0.0733,-0.0153,-0.0061
0.1999,1.3694,1.9421,0.0046,-0.0255,11.1751,1.4641,0,0.009,0.009,-0.0286,1.3673,0.0747,-0.0153,-0.0061
0.1999,1.3894,1.9491,0.0065,-0.0255,11.3138,1.4717,0,0.0051,0.0051,-0.0283,1.3873,0.0763,-0.0153,-0.0061
0.1999,1.4094,1.9522,0.0032,-0.0222,11.4545,1.4795,0,0.002,0.002,-0.0146,1.4072,0.0782,-0.0133,-0.0053
0.1999,1.4293,1.9518,-0.001,-0.0222,11.5973,1.4875,0,-0.0001,-0.0001,-0.0143,1.4271,0.0797,-0.0133,-0.0053
0.1999,1.4493,1.9485,-0.0028,-0.0222,11.742,1.4956,0,-0.0021,-0.0021,-0.0144,1.4471,0.0807,-0.0133,-0.0053
0.2,1.4693,1.9428,0.0039,-0.0222,11.8887,1.5037,0,-0.0043,-0.0043,-0.0147,1.4671,0.0814,-0.0133,-0.0053
0.1999,1.4893,1.9348,0,-0.0186,12.0374,1.512,0,-0.0056,-0.0056,-0.0089,1.487,0.083,-0.0112,-0.0045
0.1999,1.5093,1.9251,0,-0.0186,12.1881,1.5204,0,-0.007,-0.007,-0.0089,1.507,0.0841,-0.0112,-0.0045
0.2,1.5293,1.9138,0,-0.0186,12.3408,1.5289,0,-0.0084,-0.0084,-0.0089,1.5269,0.0853,-0.0112,-0.0045
0.2,1.5493,1.9011,0,-0.0261,12.4955,1.5376,0,-0.0093,-0.0093,-0.0047,1.5469,0.0864,-0.0157,-0.0063
0.2,1.5693,1.8873,-0.0066,-0.0261,12.6521,1.5463,0,-0.01,-0.01,-0.0047,1.5669,0.0875,-0.0157,-0.0063
0.1991,1.5893,1.8724,-0.0044,-0.0261,12.8108,1.5551,0,-0.0109,-0.0109,-0.0053,1.5869,0.0876,-0.0157,-0.0063
0.1999,1.6092,1.8567,-0.0111,-0.0368,12.9715,1.5639,0,-0.011,-0.011,0.0039,1.6068,0.088,-0.0222,-0.0089
0.1999,1.6292,1.8403,-0.0178,-0.0368,13.1342,1.5726,0,-0.0105,-0.0105,0.0028,1.6269,0.0874,-0.0222,-0.0089
0.1257,1.6492,1.8232,-0.0237,-0.0368,13.2989,1.5812,0,-0.0104,-0.0104,0.001,1.647,0.0855,-0.0222,-0.0089
0.0967,1.6618,1.8067,-0.0304,-0.0457,13.4649,1.5894,0,-0.0105,-0.0105,-0.0003,1.6597,0.0822,-0.0275,-0.011
0.2,1.6714,1.7911,-0.0237,-0.0457,13.6318,1.5972,0,-0.0111,-0.0111,-0.0034,1.6696,0.0776,-0.0275,-0.011
0.0265,1.6914,1.7748,-0.0298,-0.0457,13.8008,1.6046,0,-0.012,-0.012,-0.0058,1.6898,0.0745,-0.0275,-0.011
0.0313,1.6941,1.7604,-0.0354,-0.0574,13.9701,1.6116,0,-0.0129,-0.0129,-0.001,1.6927,0.0694,-0.0346,-0.0138
0.0491,1.6972,1.7478,-0.0287,-0.0574,14.1397,1.6179,0,-0.0137,-0.0137,-0.0046,1.696,0.0634,-0.0346,-0.0138
0.0287,1.7021,1.7362,-0.022,-0.0574,14.3098,1.6238,0,-0.015,-0.015,-0.0076,1.7011,0.0586,-0.0346,-0.0138
-0.0353,1.705,1.726,-0.0287,-0.0641,14.4802,1.6292,0,-0.0151,-0.0151,0.0067,1.7041,0.0549,-0.0387,-0.0155
-0.0431,1.7015,1.7178,-0.0353,-0.0641,14.6503,1.6342,0,-0.0145,-0.0145,0.0038,1.7007,0.0497,-0.0387,-0.0155
-0.0346,1.6972,1.7115,-0.0418,-0.0641,14.8199,1.6386,0,-0.0144,-0.0144,0.0002,1.6966,0.0435,-0.0387,-0.0155
-0.0253,1.6937,1.7067,-0.0485,-0.0657,14.9893,1.6422,0,-0.013,-0.013,0.0163,1.6933,0.0362,-0.0396,-0.0159
-0.0165,1.6912,1.7031,-0.0552,-0.0657,15.1584,1.645,0,-0.0111,-0.0111,0.0113,1.6909,0.0278,-0.0396,-0.0159
-0.0095,1.6895,1.7002,-0.0616,-0.0657,15.3273,1.6468,0,-0.0101,-0.0101,0.0057,1.6894,0.0182,-0.0396,-0.0159
-0.0058,1.6886,1.698,-0.0654,-0.0628,15.4962,1.6475,0,-0.0077,-0.0077,0.0224,1.6886,0.0076,-0.0379,-0.0152
-0.0016,1.688,1.6961,-0.0721,-0.0628,15.665,1.6472,0,-0.005,-0.005,0.0158,1.688,-0.0036,-0.0379,-0.0152
0.0036,1.6878,1.6946,0,-0.0628,15.8337,1.6456,0,-0.0036,-0.0036,0.0084,1.6878,-0.016,-0.0379,-0.0152
-0.0033,1.6882,1.6932,0.0011,-0.0548,16.0026,1.644,0,0,0,0.0271,1.6881,-0.016,-0.0331,-0.0132
-0.004,1.6879,1.6921,-0.0056,-0.0548,16.1713,1.6424,0,0.0046,0.0046,0.0272,1.6878,-0.0158,-0.0331,-0.0132
-0.0031,1.6875,1.6912,-0.0123,-0.0548,16.3401,1.6407,0,0.0091,0.0091,0.0266,1.6874,-0.0168,-0.0331,-0.0132
-0.0021,1.6871,1.6905,-0.0164,-0.0522,16.5088,1.6388,0,0.0157,0.0157,0.0433,1.687,-0.0189,-0.0314,-0.0126
-0.0013,1.6869,1.69,-0.0231,-0.0522,16.6775,1.6367,0,0.0227,0.0227,0.0416,1.6868,-0.0217,-0.0314,-0.0126
-0.0005,1.6868,1.6895,-0.0298,-0.0522,16.8461,1.6341,0,0.0293,0.0293,0.0393,1.6866,-0.0257,-0.0314,-0.0126
-0.0004,1.6868,1.6891,-0.0317,-0.0475,17.0148,1.631,0,0.038,0.038,0.0552,1.6865,-0.0308,-0.0286,-0.0115
-0.0001,1.6867,1.6888,-0.0384,-0.0475,17.1834,1.6274,0,0.0467,0.0467,0.0519,1.6863,-0.0362,-0.0286,-0.0115
0,1.6867,1.6886,-0.045,-0.0475,17.352,1.6231,0,0.0548,0.0548,0.048,1.6862,-0.0428,-0.0286,-0.0115
