u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.4688,0.7601,-0.0451,-0.0085,15.2229,-4.8363,0.0000,-0.0296,-0.0296,0.0259,0.0000,0.0000,-0.0051,-0.0020,-0.0270
0.2000,0.4209,0.7801,-0.0367,-0.0085,15.2723,-4.8466,0.0000,-0.0364,-0.0364,0.0223,0.0000,0.0000,-0.0051,-0.0020,-0.0279
0.2000,0.6362,0.8001,-0.0283,-0.0085,15.3374,-4.8528,0.0000,-0.0380,-0.0380,0.0203,0.0000,0.0000,-0.0051,-0.0020,-0.0386
0.2000,0.5036,0.8201,-0.0210,-0.0085,15.4058,-4.8523,0.0000,-0.0327,-0.0327,0.0168,0.0000,0.0000,-0.0051,-0.0020,-0.0464
0.2000,0.6485,0.8401,-0.0143,-0.0085,15.4801,-4.8566,0.0000,-0.0317,-0.0317,0.0157,0.0000,0.0000,-0.0051,-0.0020,-0.0427
0.2000,0.6780,0.8601,-0.0078,-0.0085,15.5664,-4.8622,0.0000,-0.0313,-0.0313,0.0135,0.0000,0.0000,-0.0051,-0.0020,-0.0351
0.2000,0.7375,0.8801,-0.0114,-0.0073,15.6340,-4.8644,0.0000,-0.0285,-0.0285,0.0192,0.0000,0.0000,-0.0044,-0.0018,-0.0271
0.2000,0.8582,0.9001,-0.0197,-0.0073,15.7213,-4.8584,0.0000,-0.0157,-0.0157,0.0189,0.0000,0.0000,-0.0044,-0.0018,-0.0181
0.2000,0.6705,0.9201,-0.0226,-0.0073,15.7933,-4.8665,0.0000,-0.0182,-0.0182,0.0173,0.0000,0.0000,-0.0044,-0.0018,-0.0129
0.2000,0.8674,0.9401,-0.0257,-0.0073,15.8549,-4.8689,0.0000,-0.0158,-0.0158,0.0156,0.0000,0.0000,-0.0044,-0.0018,-0.0064
0.2000,0.7181,0.9601,-0.0246,-0.0073,15.9283,-4.8744,0.0000,-0.0155,-0.0155,0.0139,0.0000,0.0000,-0.0044,-0.0018,-0.0103
0.2000,0.6115,0.9801,-0.0203,-0.0073,16.0006,-4.8843,0.0000,-0.0198,-0.0198,0.0116,0.0000,0.0000,-0.0044,-0.0018,-0.0180
0.2000,0.7297,1.0001,-0.0119,-0.0073,16.0792,-4.8994,0.0000,-0.0286,-0.0286,0.0094,0.0000,0.0000,-0.0044,-0.0018,-0.0202
0.2000,0.7244,1.0201,-0.0035,-0.0073,16.1625,-4.9076,0.0000,-0.0304,-0.0304,0.0076,0.0000,0.0000,-0.0044,-0.0018,-0.0230
0.2000,0.7948,1.0401,0.0017,-0.0073,16.2394,-4.9084,0.0000,-0.0251,-0.0251,0.0054,0.0000,0.0000,-0.0044,-0.0018,-0.0220
0.2000,0.8305,1.0601,0.0101,0.0313,16.3239,-4.9061,0.0000,-0.0134,-0.0134,0.0477,0.0000,0.0000,0.0189,0.0075,-0.0176
0.2000,0.7617,1.0801,0.0018,0.0313,16.4027,-4.9125,0.0000,-0.0102,-0.0102,0.0466,0.0000,0.0000,0.0189,0.0075,-0.0096
0.2000,0.8379,1.1001,-0.0065,0.0313,16.4952,-4.9196,0.0000,-0.0059,-0.0059,0.0474,0.0000,0.0000,0.0189,0.0075,-0.0016
0.2000,0.7832,1.1201,-0.0149,0.0313,16.5906,-4.9239,0.0000,0.0015,0.0015,0.0469,0.0000,0.0000,0.0189,0.0075,0.0034
0.2000,0.9206,1.1401,-0.0233,0.0313,16.6894,-4.9211,0.0000,0.0163,0.0163,0.0478,0.0000,0.0000,0.0189,0.0075,0.0089
0.2000,0.9461,1.1601,-0.0317,0.0313,16.7928,-4.9289,0.0000,0.0212,0.0212,0.0467,0.0000,0.0000,0.0189,0.0075,0.0020
0.2000,0.9809,1.1801,-0.0401,0.0313,16.8767,-4.9449,0.0000,0.0156,0.0156,0.0445,0.0000,0.0000,0.0189,0.0075,-0.0057
0.2000,1.0278,1.2001,-0.0485,-0.0436,16.9637,-4.9554,0.0000,0.0084,0.0084,-0.0662,0.0000,0.0000,-0.0263,-0.0105,-0.0119
0.2000,0.8481,1.2201,-0.0401,-0.0436,17.0778,-4.9609,0.0000,0.0045,0.0045,-0.0695,0.0000,0.0000,-0.0263,-0.0105,-0.0200
0.2000,0.8700,1.2401,-0.0318,-0.0436,17.1673,-4.9590,0.0000,0.0077,0.0077,-0.0744,0.0000,0.0000,-0.0263,-0.0105,-0.0295
0.2001,1.1319,1.2601,-0.0235,-0.0436,17.2558,-4.9584,0.0000,0.0095,0.0095,-0.0787,0.0000,0.0000,-0.0263,-0.0105,-0.0377
0.2000,0.8852,1.2801,-0.0151,-0.0436,17.3542,-4.9662,0.0000,0.0030,0.0030,-0.0813,0.0000,0.0000,-0.0263,-0.0105,-0.0471
0.2000,0.8757,1.3001,-0.0067,-0.0436,17.4510,-4.9844,0.0000,-0.0138,-0.0138,-0.0842,0.0000,0.0000,-0.0263,-0.0105,-0.0365
0.2000,0.9790,1.3201,0.0017,-0.0028,17.5565,-5.0003,0.0000,-0.0274,-0.0274,-0.0397,0.0000,0.0000,-0.0017,-0.0007,-0.0284
0.2000,0.9779,1.3401,0.0101,-0.0028,17.6551,-5.0060,0.0000,-0.0274,-0.0274,-0.0415,0.0000,0.0000,-0.0017,-0.0007,-0.0205
0.2000,1.0576,1.3601,0.0185,-0.0028,17.7696,-5.0147,0.0000,-0.0294,-0.0294,-0.0406,0.0000,0.0000,-0.0017,-0.0007,-0.0124
0.2000,0.9787,1.3801,0.0269,-0.0028,17.8736,-5.0197,0.0000,-0.0284,-0.0284,-0.0419,0.0000,0.0000,-0.0017,-0.0007,-0.0047
0.2000,1.1387,1.4001,0.0353,-0.0028,17.9832,-5.0300,0.0000,-0.0323,-0.0323,-0.0398,0.0000,0.0000,-0.0017,-0.0007,0.0032
