u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.0709,0.0909,0.0043,0.0117,15.2014,-4.7662,0.0000,-0.0421,-0.0421,0.0257,0.0000,0.0000,0.0071,0.0028
0.1999,0.0576,0.1109,-0.0027,0.0117,15.2069,-4.7639,0.0000,-0.0393,-0.0393,0.0228,0.0000,0.0000,0.0071,0.0028
0.2000,0.0001,0.1309,-0.0073,0.0117,15.2087,-4.7620,0.0000,-0.0373,-0.0373,0.0227,0.0000,0.0000,0.0071,0.0028
0.1998,0.0540,0.1509,-0.0077,0.0117,15.2049,-4.7625,0.0000,-0.0381,-0.0381,0.0220,0.0000,0.0000,0.0071,0.0028
0.2000,0.0001,0.1709,-0.0073,0.0117,15.2127,-4.7654,0.0000,-0.0403,-0.0403,0.0230,0.0000,0.0000,0.0071,0.0028
0.2000,0.0001,0.1909,-0.0064,0.0117,15.2064,-4.7637,0.0000,-0.0392,-0.0392,0.0231,0.0000,0.0000,0.0071,0.0028
0.2000,0.0001,0.2109,-0.0061,0.0117,15.2012,-4.7610,0.0000,-0.0369,-0.0369,0.0239,0.0000,0.0000,0.0071,0.0028
0.2000,0.0654,0.2309,-0.0025,0.0117,15.2053,-4.7633,0.0000,-0.0389,-0.0389,0.0220,0.0000,0.0000,0.0071,0.0028
0.2000,0.0592,0.2509,0.0005,0.0117,15.2023,-4.7627,0.0000,-0.0385,-0.0385,0.0221,0.0000,0.0000,0.0071,0.0028
0.2000,0.0513,0.2709,0.0033,0.0117,15.2061,-4.7637,0.0000,-0.0391,-0.0391,0.0220,0.0000,0.0000,0.0071,0.0028
0.2000,0.0001,0.2909,0.0041,0.0117,15.2061,-4.7630,0.0000,-0.0385,-0.0385,0.0239,0.0000,0.0000,0.0071,0.0028
0.2000,0.0001,0.3109,0.0058,0.0117,15.2033,-4.7638,0.0000,-0.0395,-0.0395,0.0223,0.0000,0.0000,0.0071,0.0028
0.2000,0.0001,0.3309,0.0070,0.0117,15.2069,-4.7641,0.0000,-0.0395,-0.0395,0.0232,0.0000,0.0000,0.0071,0.0028
