u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.1999,1.0263,1.2425,-0.0596,-0.0385,17.5903,-4.9612,0,-0.0053,-0.0053,-0.0966,0,0,-0.0232,-0.0093,-0.049
0.1999,1.0162,1.2625,-0.0512,-0.0385,17.6979,-4.9797,0,-0.0229,-0.0229,-0.104,0,0,-0.0232,-0.0093,-0.0569
0.2,0.8965,1.2825,-0.0428,-0.0385,17.8169,-4.9905,0,-0.0313,-0.0313,-0.1092,0,0,-0.0232,-0.0093,-0.0623
0.1999,1.085,1.3025,-0.0344,-0.0385,17.9202,-5.007,0,-0.0489,-0.0489,-0.1129,0,0,-0.0232,-0.0093,-0.0641
0.2,1.1838,1.3225,-0.026,-0.0199,18.0216,-5.026,0,-0.0635,-0.0635,-0.0722,0,0,-0.012,-0.0048,-0.0573
0.1999,1.0377,1.3425,-0.0176,-0.0199,18.1415,-5.0524,0,-0.0822,-0.0822,-0.076,0,0,-0.012,-0.0048,-0.0493
0.1999,1.0247,1.3625,-0.0092,-0.0199,18.2479,-5.0766,0,-0.1002,-0.1002,-0.0763,0,0,-0.012,-0.0048,-0.0413
0.1999,1.219,1.3825,-0.0009,-0.0199,18.3568,-5.0959,0,-0.1149,-0.1149,-0.0789,0,0,-0.012,-0.0048,-0.0313
0.1999,1.0829,1.4025,0.0075,-0.0199,18.4842,-5.0988,0,-0.1097,-0.1097,-0.0816,0,0,-0.012,-0.0048,-0.0186
0.1999,1.0971,1.4225,0.0159,-0.0164,18.6127,-5.1082,0,-0.1106,-0.1106,-0.0555,0,0,-0.0099,-0.0039,-0.0117
0.1999,1.2609,1.4425,0.0243,-0.0164,18.7452,-5.131,0,-0.123,-0.123,-0.055,0,0,-0.0099,-0.0039,-0.0054
0.1999,1.2777,1.4625,0.0327,-0.0164,18.8792,-5.1628,0,-0.1435,-0.1435,-0.0541,0,0,-0.0099,-0.0039,0.0028
0.2,1.3331,1.4825,0.0411,-0.0164,19.0097,-5.1846,0,-0.1541,-0.1541,-0.0507,0,0,-0.0099,-0.0039,0.0131
0.2,1.3655,1.5025,0.0495,-0.0098,19.1363,-5.1979,0,-0.1561,-0.1561,-0.0433,0,0,-0.0059,-0.0024,0.0207
0.1999,1.3118,1.5225,0.0578,-0.0098,19.261,-5.191,0,-0.1374,-0.1374,-0.04,0,0,-0.0059,-0.0024,0.0286
0.1999,1.262,1.5425,0.0662,-0.0098,19.3911,-5.1969,0,-0.1312,-0.1312,-0.0376,0,0,-0.0059,-0.0024,0.036
0.1999,1.241,1.5625,0.0745,-0.0098,19.5408,-5.2025,0,-0.1227,-0.1227,-0.0337,0,0,-0.0059,-0.0024,0.0436
0.1999,1.2919,1.5825,0.0665,-0.0262,19.6825,-5.2239,0,-0.1308,-0.1308,-0.0556,0,0,-0.0158,-0.0063,0.0513
0.2,1.4867,1.6025,0.0749,-0.0262,19.8331,-5.2327,0,-0.1307,-0.1307,-0.0495,0,0,-0.0158,-0.0063,0.0591
0.1999,1.4207,1.6225,0.0833,-0.0262,19.9808,-5.2416,0,-0.1291,-0.1291,-0.042,0,0,-0.0158,-0.0063,0.0669
0.2,1.4971,1.6425,0.0822,-0.0262,20.1481,-5.2605,0,-0.137,-0.137,-0.0353,0,0,-0.0158,-0.0063,0.0711
0.2,1.469,1.6625,0.0821,-0.0179,20.2954,-5.275,0,-0.1391,-0.1391,0.0024,0,0,-0.0108,-0.0043,0.0776
0.2,1.6697,1.6825,0.0737,-0.0179,20.4546,-5.2843,0,-0.1326,-0.1326,0.0098,0,0,-0.0108,-0.0043,0.0728
0.2,1.4683,1.7025,0.0653,-0.0179,20.6179,-5.2963,0,-0.1287,-0.1287,0.017,0,0,-0.0108,-0.0043,0.0858
0.2,1.5825,1.7225,0.0569,-0.0459,20.7876,-5.3043,0,-0.1217,-0.1217,-0.0018,0,0,-0.0277,-0.0111,0.0911
0.2,1.6242,1.7425,0.0485,-0.0459,20.9447,-5.3204,0,-0.1264,-0.1264,0.0066,0,0,-0.0277,-0.0111,0.0906
0.2,1.6857,1.7625,0.0401,-0.0459,21.1206,-5.3191,0,-0.1129,-0.1129,0.0132,0,0,-0.0277,-0.0111,0.0892
0.2,1.5649,1.7825,0.0485,-0.0229,21.294,-5.3058,0,-0.0852,-0.0852,0.0753,0,0,-0.0138,-0.0055,0.0778
0.2,1.7472,1.8025,0.0401,-0.0229,21.437,-5.277,0,-0.0365,-0.0365,0.0823,0,0,-0.0138,-0.0055,0.0718
0.2,1.7264,1.8225,0.0317,-0.0229,21.6153,-5.2827,0,-0.0196,-0.0196,0.0863,0,0,-0.0138,-0.0055,0.0637
0.1999,1.4549,1.8425,0.0233,-0.0529,21.8003,-5.2913,0,-0.0069,-0.0069,0.0878,0,0,-0.0319,-0.0127,0.0575
0.2,1.7691,1.8625,0.0149,-0.0529,21.9828,-5.2996,0,0.0105,0.0105,0.0934,0,0,-0.0319,-0.0127,0.0508
0.2,1.8368,1.8825,0.0065,-0.0529,22.1635,-5.2912,0,0.0423,0.0423,0.1,0,0,-0.0319,-0.0127,0.0566
0.2,1.8113,1.9025,0.0121,-0.0386,22.3317,-5.2889,0,0.0646,0.0646,0.0917,0,0,-0.0233,-0.0093,0.0491
0.2,1.7952,1.9225,0.0037,-0.0386,22.5005,-5.2799,0,0.0922,0.0922,0.0937,0,0,-0.0233,-0.0093,0.0421
0.2,1.6688,1.9425,-0.0047,-0.0386,22.6713,-5.2666,0,0.1231,0.1231,0.0948,0,0,-0.0233,-0.0093,0.0344
0.2,1.6779,1.9625,-0.0131,-0.0627,22.8807,-5.2813,0,0.1316,0.1316,0.1117,0,0,-0.0378,-0.0151,0.0276
0.2,1.6992,1.9825,-0.0215,-0.0627,23.0615,-5.2687,0,0.1671,0.1671,0.1126,0,0,-0.0378,-0.0151,0.0208
0.1065,2.0806,2,-0.0299,-0.0627,23.2556,-5.2576,0,0.2061,0.2061,0.1104,0,0,-0.0378,-0.0151,0.0248
0.1311,1.7975,2,-0.0383,-0.0627,23.4244,-5.2484,0,0.233,0.233,0.1084,0,0,-0.0378,-0.0151,0.0176
0.1047,1.9269,2,-0.0467,-0.0632,23.613,-5.2533,0,0.2497,0.2497,0.0883,0,0,-0.0381,-0.0152,0.0085
0.2001,1.6756,2,-0.0551,-0.0632,23.8024,-5.2572,0,0.2638,0.2638,0.0811,0,0,-0.0381,-0.0152,-0.0008
0.1735,1.8712,2,-0.0635,-0.0632,24.0237,-5.2532,0,0.2927,0.2927,0.0734,0,0,-0.0381,-0.0152,-0.0064
0.1601,1.8785,2,-0.0719,-0.0929,24.2324,-5.2555,0,0.3157,0.3157,0.0833,0,0,-0.0561,-0.0225,-0.0222
-0.0398,2.1931,2,-0.0803,-0.0929,24.4263,-5.2618,0,0.3355,0.3355,0.0725,0,0,-0.0561,-0.0225,-0.0304
-0.0705,2.0678,2,-0.0887,-0.0929,24.6401,-5.2827,0,0.3397,0.3397,0.0617,0,0,-0.0561,-0.0225,-0.0399
0.0543,1.923,2,-0.0971,-0.1224,24.8401,-5.3098,0,0.3378,0.3378,0.0599,0,0,-0.0741,-0.0296,-0.0455
-0.111,2.1323,2,-0.1055,-0.1224,25.0576,-5.3434,0,0.3334,0.3334,0.046,0,0,-0.0741,-0.0296,-0.0548
-0.0388,2.0053,2,-0.1117,-0.1204,25.2545,-5.3605,0,0.3442,0.3442,0.0755,0,0,-0.0729,-0.0291,-0.0641
-0.1869,2.1873,2,-0.1201,-0.1204,25.4683,-5.4065,0,0.3333,0.3333,0.0482,0,0,-0.0729,-0.0291,-0.072
-0.005,1.9595,2,-0.1285,-0.1204,25.6852,-5.4353,0,0.3436,0.3436,0.051,0,0,-0.0729,-0.0291,-0.0801
-0.1949,2.185,2,-0.1342,-0.1177,25.904,-5.4658,0,0.3517,0.3517,0.0367,0,0,-0.0712,-0.0285,-0.0879
