"u_a","v_real","v_ref","u_delta","delta_d","px","py","theta1","cte","cte_real","epsi","vx","vy","kappa","beta"
0.2,0,0.02,0.0067,0.1521,0.3416,-0.0219,0,0,0,0,0,0,0.0923,0.0369
0.2,0.02,0.04,0.0134,0.1521,0.3436,-0.0222,0,0,0,0,0.0198,-0.0028,0.0923,0.0369
0.2,0.04,0.06,0.0201,0.1521,0.3475,-0.0227,0,0,0,0,0.0396,-0.0056,0.0923,0.0369
0.2,0.06,0.08,0.0268,0.1521,0.3535,-0.0236,0,0,0,0.0001,0.0594,-0.0084,0.0923,0.0369
0.2,0.08,0.1,0.0335,0.1521,0.3614,-0.0247,0,0,0,0.0002,0.0792,-0.0111,0.0923,0.0369
0.2,0.1,0.12,0.0402,0.1521,0.3713,-0.0261,0,0,0,0.0004,0.099,-0.0139,0.0923,0.0369
0.2,0.12,0.14,0.0469,0.1521,0.3832,-0.0277,0,0,0,0.0007,0.1188,-0.0167,0.0923,0.0369
0.2,0.14,0.16,0.0536,0.1521,0.397,-0.0297,0,0,0,0.0011,0.1386,-0.0194,0.0923,0.0369
0.2,0.16,0.18,0.0603,0.1521,0.4129,-0.0319,0,0.0001,0.0001,0.0016,0.1585,-0.0221,0.0923,0.0369
0.2,0.18,0.2,0.067,0.1521,0.4307,-0.0343,0,0.0001,0.0001,0.0023,0.1783,-0.0247,0.0923,0.0369
0.2,0.2,0.22,0.0737,0.1521,0.4505,-0.0371,0,0.0002,0.0002,0.0031,0.1981,-0.0273,0.0923,0.0369
0.2,0.22,0.24,0.0802,0.1521,0.4723,-0.04,0,0.0003,0.0003,0.0041,0.218,-0.0298,0.0923,0.0369
0.2,0.24,0.26,0.0869,0.1837,0.4961,-0.0433,0,0.0004,0.0004,-0.0098,0.2378,-0.0322,0.1119,0.0447
0.2,0.26,0.28,0.0936,0.1837,0.5219,-0.0467,0,0.0002,0.0002,-0.0084,0.2577,-0.0346,0.1119,0.0447
0.2,0.28,0.3,0.1003,0.1837,0.5496,-0.0504,0,0,0,-0.0068,0.2776,-0.0368,0.1119,0.0447
0.2,0.3,0.32,0.107,0.1837,0.5794,-0.0543,0,-0.0002,-0.0002,-0.005,0.2975,-0.0389,0.1119,0.0447
0.2,0.32,0.34,0.1137,0.1837,0.6111,-0.0584,0,-0.0003,-0.0003,-0.003,0.3174,-0.0408,0.1119,0.0447
0.2,0.34,0.36,0.1203,0.1837,0.6448,-0.0626,0,-0.0003,-0.0003,-0.0006,0.3373,-0.0426,0.1119,0.0447
0.2,0.36,0.38,0.1269,0.1837,0.6806,-0.067,0,-0.0002,-0.0002,0.002,0.3573,-0.0441,0.1119,0.0447
0.2,0.38,0.4,0.1334,0.1837,0.7183,-0.0716,0,0,0,0.0049,0.3773,-0.0455,0.1119,0.0447
0.2,0.4,0.42,0.1311,0.1837,0.758,-0.0763,0,0.0003,0.0003,0.0082,0.3973,-0.0466,0.1119,0.0447
0.2,0.42,0.44,0.1378,0.2156,0.7997,-0.081,0,0.0003,0.0003,-0.0182,0.4173,-0.0475,0.1319,0.0527
0.2,0.44,0.46,0.1445,0.2156,0.8435,-0.0858,0,-0.0004,-0.0004,-0.0146,0.4373,-0.0482,0.1319,0.0527
0.2,0.46,0.48,0.1512,0.2156,0.8892,-0.0907,0,-0.0008,-0.0008,-0.0105,0.4574,-0.0485,0.1319,0.0527
0.2,0.48,0.5,0.1579,0.2156,0.937,-0.0955,0,-0.0011,-0.0011,-0.0061,0.4775,-0.0485,0.1319,0.0527
0.2,0.5,0.52,0.1645,0.2156,0.9867,-0.1003,0,-0.0012,-0.0012,-0.0013,0.4977,-0.0482,0.1319,0.0527
0.2,0.52,0.54,0.1712,0.2156,1.0385,-0.1051,0,-0.001,-0.001,0.0039,0.5178,-0.0474,0.1319,0.0527
0.2,0.54,0.56,0.1718,0.2156,1.0923,-0.1097,0,-0.0005,-0.0005,0.0095,0.538,-0.0462,0.1319,0.0527
0.2,0.56,0.58,0.1652,0.2156,1.1481,-0.1142,0,0.0004,0.0004,0.0153,0.5582,-0.0447,0.1319,0.0527
0.2,0.58,0.6,0.1719,0.2314,1.206,-0.1185,0,-0.0001,-0.0001,-0.0263,0.5784,-0.0429,0.1419,0.0567
