%time,field.header.seq,field.header.stamp,field.header.frame_id,field.LLH.x,field.LLH.y,field.LLH.z,field.HorSpeed,field.SpeedDir,field.VerSpeed
1778036277808284883,1741,1778036277807793999,F2008915,24.789443738,120.995955316,101.896,0.009999999776482582,309.0799865722656,-0.009999999776482582
1778036277808325918,1742,1778036277807888228,F2008915,24.78944375,120.995955309,101.908,0.009999999776482582,309.0799865722656,-0.009999999776482582
1778036277808364190,1743,1778036277807993134,F2008915,24.78944375,120.995955309,101.908,0.019999999552965164,340.5,0.009999999776482582
1778036277846276449,1744,1778036277845559466,F2008915,24.78944375,120.995955309,101.908,0.019999999552965164,340.5,0.009999999776482582
1778036277846292317,1745,1778036277845649820,F2008915,24.78944375,120.995955309,101.908,0.019999999552965164,340.5,0.009999999776482582
1778036277846619253,1746,1778036277845707850,F2008915,24.78944375,120.995955309,101.908,0.019999999552965164,340.5,0.009999999776482582
1778036277846732198,1747,1778036277845764127,F2008915,24.789443741,120.995955289,101.907,0.019999999552965164,340.5,0.009999999776482582
1778036277883783570,1748,1778036277883370267,F2008915,24.789443741,120.995955289,101.907,0.03999999910593033,314.1199951171875,-0.029999999329447746
1778036277884091666,1749,1778036277883527605,F2008915,24.789443741,120.995955289,101.907,0.03999999910593033,314.1199951171875,-0.029999999329447746
1778036277884150778,1751,1778036277883695818,F2008915,24.789443741,120.995955289,101.907,0.03999999910593033,314.1199951171875,-0.029999999329447746
1778036277917342549,1752,1778036277916961036,F2008915,24.789443726,120.995955273,101.92,0.03999999910593033,314.1199951171875,-0.029999999329447746
1778036277917354745,1753,1778036277917025577,F2008915,24.789443726,120.995955273,101.92,0.0,81.68000030517578,-0.10000000149011612
1778036277917359446,1754,1778036277917059268,F2008915,24.789443726,120.995955273,101.92,0.0,81.68000030517578,-0.10000000149011612
1778036277955228214,1755,1778036277954723299,F2008915,24.789443726,120.995955273,101.92,0.0,81.68000030517578,-0.10000000149011612
1778036277955253825,1756,1778036277954808382,F2008915,24.789443726,120.995955273,101.92,0.0,81.68000030517578,-0.10000000149011612
