timestamp(ns),tx,ty,tz,qw,qx,qy,qz,Pr11,Pr12,Pr13,Pr22,Pr23,Pr33,Pt11,Pt12,Pt13,Pt22,Pt23,Pt33
1784079529290350336,-0.100807945,-0.037449686,0.003253222,0.006212695,0.026354715,0.017528459,-0.999479657,0.0000055343,0.0000007282,-0.0000208890,0.0000049300,-0.0000137086,0.0003986034,0.0028570073,-0.0000153172,0.0001075187,0.0026219710,-0.0000052556,0.0026467499
1784079529390464512,-0.138127300,-0.045765240,0.002699314,0.008788763,0.026601683,0.017042223,-0.999462191,0.0000055689,0.0000007127,-0.0000211164,0.0000049098,-0.0000132693,0.0003986270,0.0029000692,-0.0000179810,0.0001203586,0.0026394505,-0.0000058748,0.0026640629
1784079529490418432,-0.181766970,-0.055059543,0.002022164,0.011905810,0.026857831,0.016739382,-0.999428187,0.0000056060,0.0000007042,-0.0000213572,0.0000049001,-0.0000129619,0.0003986400,0.0029460796,-0.0000211868,0.0001339040,0.0026601273,-0.0000065275,0.0026827262
1784079529556998400,-0.262846617,-0.053587049,-0.011532965,0.014355013,0.027531221,0.016656823,-0.999379065,0.0000056371,0.0000006980,-0.0000217310,0.0000048537,-0.0000127115,0.0003986256,0.0026076135,0.0000131374,0.0000277435,0.0025564920,0.0000070560,0.0025430141
1784079529623480576,-0.296786378,-0.060339025,-0.012526838,0.016829210,0.027767493,0.016563969,-0.999335469,0.0000056890,0.0000007108,-0.0000221302,0.0000048608,-0.0000127148,0.0003985936,0.0026103718,0.0000122591,0.0000288634,0.0025736888,0.0000076372,0.0025432897
1784079529690342400,-0.332824275,-0.068978563,-0.013536665,0.019658634,0.027799666,0.016676007,-0.999281055,0.0000057036,0.0000007142,-0.0000221928,0.0000048696,-0.0000127436,0.0003985979,0.0026136835,0.0000112325,0.0000298522,0.0025828935,0.0000080771,0.0025435898
1784079529756945408,-0.363845286,-0.075552775,-0.010708233,0.022773507,0.028639547,0.017252992,-0.999181404,0.0000057919,0.0000007605,-0.0000229101,0.0000049016,-0.0000131394,0.0003985020,0.0026068101,0.0000046797,0.0000273704,0.0025910083,0.0000064276,0.0025417845
1784079529823466496,-0.403774225,-0.086596361,-0.011501124,0.025993354,0.028682862,0.017744504,-0.999092974,0.0000058088,0.0000007797,-0.0000229937,0.0000049269,-0.0000134279,0.0003984863,0.0026075319,0.0000026461,0.0000271854,0.0026012847,0.0000064313,0.0025417329
1784079529890266368,-0.447907165,-0.098953641,-0.013179736,0.029500922,0.029496220,0.017898616,-0.998969123,0.0000058977,0.0000008044,-0.0000236924,0.0000049329,-0.0000134443,0.0003984156,0.0026043403,-0.0000016187,0.0000256259,0.0026153589,0.0000061434,0.0025412847
1784079529956867584,-0.491808142,-0.111308409,-0.014379120,0.033447206,0.029583786,0.017554744,-0.998848294,0.0000059164,0.0000007878,-0.0000238121,0.0000049077,-0.0000130733,0.0003984378,0.0025975783,-0.0000081909,0.0000228174,0.0026317113,0.0000053768,0.0025403782
1784079530023475456,-0.538453707,-0.124425583,-0.015656026,0.037791244,0.029831698,0.017680046,-0.998683788,0.0000059532,0.0000007963,-0.0000240623,0.0000049097,-0.0000130739,0.0003984215,0.0025983868,-0.0000131367,0.0000224876,0.0026503257,0.0000052724,0.0025404128
1784079530090198528,-0.586968442,-0.137471947,-0.017283188,0.042309040,0.030610573,0.017282136,-0.998485987,0.0000060375,0.0000007909,-0.0000247188,0.0000048802,-0.0000126264,0.0003983829,0.0025958587,-0.0000194047,0.0000211486,0.0026719536,0.0000049817,0.0025401768
1784079530156677376,-0.637981875,-0.151187455,-0.018885177,0.047015749,0.030388875,0.016530937,-0.998294928,0.0000060236,0.0000007443,-0.0000245903,0.0000048347,-0.0000119274,0.0003984568,0.0025946172,-0.0000261610,0.0000200069,0.0026966888,0.0000047516,0.0025399817
1784079530223534336,-0.690925134,-0.167063479,-0.020680569,0.052308343,0.031105252,0.015441556,-0.998026983,0.0000061014,0.0000006970,-0.0000251615,0.0000047711,-0.0000109031,0.0003984591,0.0025971746,-0.0000335936,0.0000197637,0.0027244763,0.0000046654,0.0025401153
1784079530290131456,-0.746090163,-0.185597395,-0.023059611,0.057952249,0.031000101,0.014892878,-0.997726783,0.0000060996,0.0000006600,-0.0000251148,0.0000047327,-0.0000103335,0.0003985112,0.0026003163,-0.0000426371,0.0000194506,0.0027559324,0.0000045508,0.0025402755
1784079530390113280,-0.837119258,-0.218511843,-0.027821792,0.066680120,0.031957224,0.014808755,-0.997152545,0.0000061854,0.0000006484,-0.0000259388,0.0000046956,-0.0000099453,0.0003984406,0.0026012402,-0.0000599952,0.0000183204,0.0028103260,0.0000042421,0.0025404374
1784079530423477504,-0.867419670,-0.230313697,-0.029001020,0.069680634,0.031694307,0.014591768,-0.996958956,0.0000061574,0.0000006296,-0.0000257634,0.0000046731,-0.0000097266,0.0003984818,0.0026034325,-0.0000674091,0.0000180999,0.0028334867,0.0000041374,0.0025405685
1784079530490064384,-0.927853239,-0.255244977,-0.032765834,0.076000092,0.032454183,0.014709243,-0.996470948,0.0000062359,0.0000006308,-0.0000265033,0.0000046440,-0.0000095469,0.0003984016,0.0026067914,-0.0000820069,0.0000176148,0.0028763463,0.0000039228,0.0025406698
1784079530556536320,-0.989297979,-0.281947292,-0.035458459,0.082541406,0.032538328,0.014827053,-0.995945948,0.0000062381,0.0000006270,-0.0000265970,0.0000046237,-0.0000095315,0.0003984052,0.0026125395,-0.0000985237,0.0000171607,0.0029227879,0.0000037293,0.0025409688
1784079530623420416,-1.050008750,-0.309746056,-0.038627616,0.089020262,0.033436930,0.015249558,-0.995351604,0.0000063419,0.0000006551,-0.0000274048,0.0000046089,-0.0000096751,0.0003983033,0.0026196574,-0.0001172485,0.0000166970,0.0029741643,0.0000035341,0.0025413768
1784079530723372544,-1.138867769,-0.353090618,-0.042527222,0.098484309,0.033526514,0.015105829,-0.994458962,0.0000063586,0.0000006270,-0.0000275551,0.0000045593,-0.0000093049,0.0003983255,0.0026321595,-0.0001475466,0.0000159472,0.0030525009,0.0000032072,0.0025420812
1784079530856705536,-1.254258292,-0.413242878,-0.047845491,0.112080173,0.034177248,0.014673258,-0.993002843,0.0000064231,0.0000005704,-0.0000281110,0.0000044784,-0.0000085510,0.0003983161,0.0026523889,-0.0001936455,0.0000150045,0.0031647637,0.0000026609,0.0025431678
1784079530989778432,-1.369291893,-0.475673771,-0.052481417,0.125383981,0.034506206,0.014446590,-0.991402781,0.0000064508,0.0000005109,-0.0000284866,0.0000043567,-0.0000079011,0.0003983235,0.0026765258,-0.0002458240,0.0000140971,0.0032860560,0.0000020882,0.0025443293
1784079531023286528,-1.397592761,-0.492739674,-0.053519251,0.128651516,0.034373292,0.014490883,-0.990988032,0.0000064239,0.0000005091,-0.0000283868,0.0000042862,-0.0000078932,0.0003983469,0.0026833417,-0.0002606946,0.0000139240,0.0033175099,0.0000020393,0.0025445910
1784079531089735424,-1.453797954,-0.528112739,-0.054185774,0.135380048,0.034214219,0.015309144,-0.990084471,0.0000064015,0.0000005306,-0.0000283589,0.0000042373,-0.0000083297,0.0003983451,0.0026988552,-0.0002916909,0.0000136407,0.0033810592,0.0000017539,0.0025450901
1784079531189709312,-1.538806339,-0.583100949,-0.058477812,0.145422047,0.034950527,0.016175399,-0.988619869,0.0000064698,0.0000005544,-0.0000291016,0.0000041690,-0.0000086386,0.0003982448,0.0027251955,-0.0003424127,0.0000133931,0.0034836990,0.0000012467,0.0025460510
1784079531223201536,-1.567958020,-0.600666568,-0.059996473,0.148667991,0.035264218,0.016248249,-0.988124617,0.0000064836,0.0000005528,-0.0000293510,0.0000041027,-0.0000085835,0.0003982187,0.0027340685,-0.0003601238,0.0000132466,0.0035210121,0.0000012164,0.0025463206
1784079531289667328,-1.625841211,-0.634000403,-0.061694982,0.154700233,0.035790496,0.016350505,-0.987177562,0.0000064457,0.0000005230,-0.0000297222,0.0000039941,-0.0000084896,0.0003981708,0.0027506407,-0.0003959338,0.0000137261,0.0035944756,0.0000010865,0.0025464941
1784079531389641472,-1.708530463,-0.685297634,-0.064091699,0.164075919,0.036067000,0.015785425,-0.985661750,0.0000064389,0.0000004465,-0.0000301259,0.0000038583,-0.0000076829,0.0003981687,0.0027794633,-0.0004501063,0.0000136890,0.0037068124,0.0000008835,0.0025475859
1784079531423116544,-1.736255767,-0.702023870,-0.064262498,0.167109383,0.035936017,0.015432740,-0.985162366,0.0000063280,0.0000004247,-0.0000299842,0.0000037448,-0.0000074400,0.0003982052,0.0027885346,-0.0004697018,0.0000138230,0.0037448552,0.0000011559,0.0025475720
1784079531489714432,-1.791388647,-0.735507739,-0.066135715,0.172927017,0.036239630,0.014936400,-0.984154378,0.0000063013,0.0000003665,-0.0000302022,0.0000036513,-0.0000068064,0.0003982115,0.0028090691,-0.0005082395,0.0000138985,0.0038232614,0.0000010886,0.0025482420
1784079531589823488,-1.874340742,-0.788059048,-0.067911201,0.181427070,0.036472211,0.013892598,-0.982629631,0.0000062640,0.0000002696,-0.0000304610,0.0000035036,-0.0000055756,0.0003982370,0.0028425333,-0.0005692850,0.0000141276,0.0039458256,0.0000010807,0.0025493777
1784079531656428544,-1.931000147,-0.823250010,-0.068778803,0.187200690,0.035200276,0.012627100,-0.981609596,0.0000059844,0.0000002109,-0.0000293129,0.0000033765,-0.0000047235,0.0003984530,0.0028674968,-0.0006139115,0.0000140666,0.0040331137,0.0000011397,0.0025498242
1784079531722917632,-1.990105491,-0.857744529,-0.069978795,0.192510348,0.035727542,0.011333106,-0.980578844,0.0000059201,0.0000001127,-0.0000294837,0.0000032604,-0.0000034279,0.0003984731,0.0028924971,-0.0006594817,0.0000142259,0.0041258317,0.0000012418,0.0025504360
1784079531756511488,-2.020261040,-0.873860825,-0.070121013,0.195000461,0.035274592,0.010553730,-0.980111801,0.0000057514,0.0000001034,-0.0000289973,0.0000031099,-0.0000029301,0.0003985570,0.0029033851,-0.0006843782,0.0000144548,0.0041748767,0.0000017848,0.0025502898
1784079531856351488,-2.112027270,-0.928185034,-0.073100695,0.202626132,0.035931558,0.009136570,-0.978554085,0.0000057082,-0.0000000272,-0.0000294047,0.0000030030,-0.0000013688,0.0003985419,0.0029443886,-0.0007591949,0.0000150133,0.0043271504,0.0000020159,0.0025515985
1784079531922817536,-2.175727368,-0.968326480,-0.075394502,0.207895048,0.035165805,0.008311838,-0.977483467,0.0000055024,-0.0000000794,-0.0000285999,0.0000029131,-0.0000007343,0.0003986797,0.0029767836,-0.0008166164,0.0000154405,0.0044345395,0.0000023449,0.0025523277
1784079531989669632,-2.238949533,-1.010813712,-0.077823374,0.212728824,0.035799217,0.008976846,-0.976413990,0.0000055309,-0.0000000522,-0.0000293380,0.0000028340,-0.0000010413,0.0003985873,0.0030120244,-0.0008785795,0.0000158484,0.0045501703,0.0000026706,0.0025531589
1784079532056267520,-2.302585750,-1.052936780,-0.080053440,0.217316842,0.034610523,0.008047789,-0.975454117,0.0000052905,-0.0000000850,-0.0000282540,0.0000027569,-0.0000004332,0.0003987672,0.0030481988,-0.0009426575,0.0000162871,0.0046663790,0.0000029546,0.0025540732
1784079532122748416,-2.366402865,-1.093190064,-0.082776959,0.222005611,0.035159932,0.007287536,-0.974384000,0.0000052847,-0.0000001524,-0.0000284795,0.0000027254,0.0000003889,0.0003987522,0.0030858688,-0.0010070552,0.0000170265,0.0047865871,0.0000031513,0.0025553947
1784079532156253696,-2.397977487,-1.111970469,-0.084162764,0.224251150,0.035384961,0.006491792,-0.973867128,0.0000052110,-0.0000002150,-0.0000284852,0.0000026967,0.0000010123,0.0003987553,0.0031026785,-0.0010416208,0.0000174087,0.0048481243,0.0000031653,0.0025559531
1784079532256078592,-2.500177103,-1.174250594,-0.088062953,0.230526522,0.034616750,0.005663348,-0.972433612,0.0000050775,-0.0000002726,-0.0000277044,0.0000026963,0.0000018728,0.0003988911,0.0031632309,-0.0011447390,0.0000185197,0.0050460036,0.0000031726,0.0025583183
1784079532322941440,-2.568018963,-1.216970052,-0.089841795,0.234490156,0.034317299,0.005421507,-0.971497451,0.0000050300,-0.0000002941,-0.0000274740,0.0000027044,0.0000020127,0.0003989423,0.0032085698,-0.0012195996,0.0000195670,0.0051861171,0.0000032079,0.0025603029
1784079532389548544,-2.628423599,-1.261401998,-0.085617844,0.237938299,0.032917854,0.004573127,-0.970711526,0.0000048077,-0.0000001316,-0.0000269758,0.0000024381,0.0000021119,0.0003990279,0.0032466335,-0.0012987513,0.0000171166,0.0053290766,0.0000040215,0.0025579898
1784079532456026624,-2.695867153,-1.306540894,-0.087391588,0.241135577,0.032530568,0.004681089,-0.969934783,0.0000046459,-0.0000001414,-0.0000260520,0.0000024018,0.0000024733,0.0003991685,0.0032955603,-0.0013763867,0.0000174457,0.0054582408,0.0000045049,0.0025591505
1784079532522868480,-2.764891252,-1.352232790,-0.088913513,0.244202777,0.031211426,0.003517834,-0.969215392,0.0000044528,-0.0000001727,-0.0000248764,0.0000023796,0.0000031408,0.0003993316,0.0033463480,-0.0014613384,0.0000178552,0.0056105037,0.0000049664,0.0025606117
1784079532589463552,-2.833665596,-1.392045285,-0.089215306,0.247298379,0.031526505,0.002535804,-0.968423028,0.0000043706,-0.0000002141,-0.0000249872,0.0000023272,0.0000039338,0.0003992988,0.0033923815,-0.0015476176,0.0000177837,0.0057688382,0.0000050100,0.0025616584
1784079532655940608,-2.905156354,-1.432805689,-0.090937328,0.250385123,0.030460130,0.000761805,-0.967666725,0.0000041777,-0.0000002869,-0.0000237973,0.0000023344,0.0000053337,0.0003994297,0.0034377323,-0.0016292215,0.0000181263,0.0059297216,0.0000053241,0.0025630923
1784079532722792448,-2.976155172,-1.473427469,-0.092736191,0.253377292,0.031336391,-0.000467708,-0.966859742,0.0000041512,-0.0000003693,-0.0000240524,0.0000023563,0.0000064934,0.0003993809,0.0034900820,-0.0017206176,0.0000185433,0.0060993052,0.0000053529,0.0025648548
1784079532789398528,-3.045783957,-1.516915712,-0.094174660,0.255878832,0.030387430,-0.001094127,-0.966230526,0.0000040018,-0.0000003826,-0.0000231816,0.0000023558,0.0000068815,0.0003994887,0.0035450319,-0.0018130913,0.0000190071,0.0062676445,0.0000054495,0.0025666692
1784079532855875584,-3.115887505,-1.562299063,-0.096026602,0.257286037,0.031463178,-0.001379516,-0.965821961,0.0000040283,-0.0000004358,-0.0000239338,0.0000023375,0.0000074181,0.0003993953,0.0036010823,-0.0019091254,0.0000195969,0.0064368117,0.0000054176,0.0025680579
1784079532922722560,-3.181601452,-1.602140205,-0.094971953,0.258624957,0.029166809,-0.001352576,-0.965536431,0.0000037608,-0.0000003740,-0.0000222273,0.0000022816,0.0000067255,0.0003996349,0.0036599405,-0.0020112774,0.0000202108,0.0066152868,0.0000052887,0.0025696010
1784079532989198336,-3.250593574,-1.646878517,-0.096562800,0.260354046,0.030592741,-0.000118594,-0.965028414,0.0000038914,-0.0000003761,-0.0000237127,0.0000022442,0.0000063829,0.0003994907,0.0037131696,-0.0021022370,0.0000207788,0.0067826234,0.0000054734,0.0025711144
1784079533056046592,-3.320343799,-1.689141440,-0.094118185,0.261465811,0.029113000,-0.000986363,-0.964773077,0.0000036559,-0.0000003189,-0.0000224573,0.0000021939,0.0000066160,0.0003996460,0.0037688394,-0.0022059168,0.0000196364,0.0069698309,0.0000058502,0.0025702121
1784079533122654464,-3.392591277,-1.726944334,-0.095364360,0.262251287,0.030215756,-0.002363523,-0.964523553,0.0000036679,-0.0000004009,-0.0000228543,0.0000022286,0.0000080848,0.0003995641,0.0038241437,-0.0023042693,0.0000198419,0.0071612584,0.0000060503,0.0025714598
1784079533189131520,-3.465696634,-1.763848985,-0.096136512,0.262753676,0.029729471,-0.004242460,-0.964395493,0.0000035516,-0.0000004553,-0.0000221277,0.0000022708,0.0000095040,0.0003996019,0.0038779175,-0.0024033471,0.0000199899,0.0073621520,0.0000062795,0.0025725915
1784079533255978240,-3.539878047,-1.802471856,-0.096065160,0.262792551,0.029672782,-0.004640482,-0.964384813,0.0000034948,-0.0000004539,-0.0000219924,0.0000022542,0.0000097236,0.0003996215,0.0039362592,-0.0025103713,0.0000201937,0.0075717983,0.0000067528,0.0025735352
1784079533322589440,-3.612691769,-1.840822698,-0.098224083,0.262537668,0.030210231,-0.004623188,-0.964437629,0.0000035044,-0.0000004651,-0.0000223710,0.0000022466,0.0000098394,0.0003995915,0.0039967163,-0.0026181072,0.0000204748,0.0077815246,0.0000068170,0.0025751472
1784079533389103360,-3.686511070,-1.880016813,-0.099590738,0.261494122,0.029469539,-0.004803091,-0.964743127,0.0000034092,-0.0000004456,-0.0000217969,0.0000022350,0.0000098560,0.0003996702,0.0040575037,-0.0027274243,0.0000206888,0.0079954303,0.0000068555,0.0025767098
1784079533455914496,-3.761573404,-1.921659418,-0.100353724,0.260204393,0.031224167,-0.004297617,-0.965038992,0.0000035406,-0.0000004642,-0.0000232608,0.0000022117,0.0000097832,0.0003995240,0.0041203309,-0.0028432548,0.0000207262,0.0082186560,0.0000073307,0.0025778590
1784079533522517504,-3.838383862,-1.965645395,-0.100487169,0.258720286,0.030150980,-0.003250635,-0.965476134,0.0000034357,-0.0000003837,-0.0000226958,0.0000021410,0.0000087681,0.0003996490,0.0041869871,-0.0029668863,0.0000211922,0.0084491927,0.0000077151,0.0025790630
1784079533588998656,-3.915336076,-2.007213271,-0.101512769,0.257018651,0.030808029,-0.001582946,-0.965913957,0.0000034975,-0.0000003222,-0.0000235247,0.0000020779,0.0000075257,0.0003996185,0.0042596046,-0.0030964651,0.0000215501,0.0086896102,0.0000076124,0.0025804376
1784079533655834368,-4.001468641,-2.052127450,-0.102359410,0.255184939,0.030822177,-0.000535535,-0.966400721,0.0000034443,-0.0000002570,-0.0000236096,0.0000020156,0.0000068274,0.0003996337,0.0043130539,-0.0032241950,0.0000208029,0.0089327138,0.0000082556,0.0025797194
1784079533722323456,-4.080217445,-2.089677825,-0.104359295,0.253122219,0.031392107,-0.000489114,-0.966924733,0.0000034976,-0.0000002524,-0.0000242192,0.0000020107,0.0000067294,0.0003995760,0.0043848313,-0.0033637545,0.0000207779,0.0092164032,0.0000084016,0.0025809303
1784079533789176576,-4.163615003,-2.128322210,-0.105849110,0.250840581,0.031697373,-0.000745049,-0.967509031,0.0000034988,-0.0000002591,-0.0000243942,0.0000020173,0.0000069253,0.0003995601,0.0044507070,-0.0034945459,0.0000207644,0.0094887433,0.0000085421,0.0025820375
1784079533855776512,-4.246605088,-2.164302729,-0.106533315,0.248543675,0.032097833,-0.000358058,-0.968088654,0.0000035421,-0.0000002399,-0.0000248698,0.0000020098,0.0000066301,0.0003995259,0.0045185708,-0.0036301712,0.0000207564,0.0097745124,0.0000086590,0.0025833403
1784079533922255616,-4.334105909,-2.200669350,-0.107931983,0.245083149,0.032774910,0.000181602,-0.968947895,0.0000036043,-0.0000002189,-0.0000254952,0.0000020029,0.0000062496,0.0003994709,0.0045820711,-0.0037644325,0.0000207965,0.0100717801,0.0000087905,0.0025846270
1784079534122185472,-4.612384991,-2.313535965,-0.113640866,0.233372707,0.033620934,0.001633880,-0.971804581,0.0000037039,-0.0000001411,-0.0000264784,0.0000019809,0.0000050339,0.0003994269,0.0047948892,-0.0042121411,0.0000211520,0.0110679760,0.0000090587,0.0025895180
1784079534189049600,-4.713417031,-2.351111634,-0.116720432,0.229123819,0.034334019,0.002625256,-0.972788034,0.0000037973,-0.0000000936,-0.0000273110,0.0000019670,0.0000042984,0.0003993362,0.0048680009,-0.0043761212,0.0000211509,0.0114446419,0.0000091594,0.0025908576
1784079534255647488,-4.817244949,-2.387447315,-0.118719094,0.224622648,0.034350370,0.002665541,-0.973836543,0.0000037856,-0.0000000739,-0.0000273204,0.0000019679,0.0000041051,0.0003993510,0.0049410084,-0.0045435897,0.0000212113,0.0118437030,0.0000092133,0.0025925085
1784079534322138624,-4.925925399,-2.423972539,-0.121229727,0.219354185,0.035402600,0.002737669,-0.974998924,0.0000039118,-0.0000000819,-0.0000283115,0.0000019545,0.0000040853,0.0003992063,0.0050109645,-0.0047166460,0.0000212368,0.0122621115,0.0000091404,0.0025941419
1784079534388988416,-5.035121298,-2.458983433,-0.123468490,0.214042543,0.034515999,0.002883596,-0.976210080,0.0000037857,-0.0000000390,-0.0000274824,0.0000019477,0.0000036298,0.0003993444,0.0050850979,-0.0048964183,0.0000213007,0.0127039032,0.0000094197,0.0025959082
1784079534455463424,-5.147168157,-2.494699261,-0.126181113,0.208597699,0.035317215,0.003988615,-0.977355506,0.0000038999,0.0000000175,-0.0000283312,0.0000019390,0.0000027590,0.0003992542,0.0051601086,-0.0050780029,0.0000213664,0.0131570532,0.0000095228,0.0025979848
1784079534522329600,-5.259419406,-2.529480969,-0.130035926,0.202847195,0.034853978,0.004895437,-0.978577667,0.0000038679,0.0000000890,-0.0000281635,0.0000019288,0.0000017907,0.0003993026,0.0052360473,-0.0052706386,0.0000214371,0.0136424679,0.0000094616,0.0025999139
1784079534588931584,-5.376161877,-2.566787662,-0.131926730,0.196973073,0.034717374,0.005035865,-0.979781074,0.0000038452,0.0000001083,-0.0000280512,0.0000019206,0.0000015338,0.0003993303,0.0053021340,-0.0054547658,0.0000217057,0.0141282490,0.0000099396,0.0026015901
1784079534655379456,-5.501134067,-2.598039509,-0.135717045,0.191035314,0.034222035,0.004346995,-0.980976791,0.0000037656,0.0000000911,-0.0000275278,0.0000019285,0.0000018241,0.0003994028,0.0053753948,-0.0056501065,0.0000216451,0.0146462934,0.0000099937,0.0026035950
1784079534722260480,-5.631004634,-2.630199232,-0.141686267,0.184836558,0.034873749,0.003446122,-0.982144283,0.0000038116,0.0000000364,-0.0000279377,0.0000019353,0.0000025298,0.0003993492,0.0054360714,-0.0058512073,0.0000213266,0.0152289150,0.0000099601,0.0026048206
1784079534788893440,-5.761730285,-2.655859537,-0.145503018,0.178085944,0.034572475,0.002652423,-0.983403836,0.0000037875,0.0000000173,-0.0000278164,0.0000019401,0.0000028249,0.0003993643,0.0055081100,-0.0060667808,0.0000213295,0.0158435222,0.0000099917,0.0026069074
1784079534855313664,-5.892616078,-2.684836476,-0.147462861,0.171793566,0.034857820,0.002779998,-0.984512151,0.0000037929,0.0000000313,-0.0000278999,0.0000019445,0.0000026204,0.0003993683,0.0055707041,-0.0062674420,0.0000210960,0.0164509020,0.0000099241,0.0026089939
1784079534922198528,-6.026944139,-2.716235404,-0.149748749,0.165289039,0.034270537,0.003389097,-0.985643738,0.0000037242,0.0000000851,-0.0000274583,0.0000019388,0.0000018743,0.0003994512,0.0056394971,-0.0064827003,0.0000210169,0.0170913460,0.0000099172,0.0026110956
1784079534988833536,-6.158263042,-2.738936921,-0.153149467,0.158167893,0.034109414,0.003965078,-0.986814949,0.0000037372,0.0000001335,-0.0000276148,0.0000019263,0.0000011567,0.0003994446,0.0057047080,-0.0067044624,0.0000212856,0.0177630421,0.0000098169,0.0026129878
1784079535055256320,-6.296103758,-2.767754767,-0.159096859,0.150788065,0.034379158,0.004788804,-0.987956528,0.0000037454,0.0000001834,-0.0000277340,0.0000019182,0.0000004183,0.0003994400,0.0057574070,-0.0069069719,0.0000211001,0.0184321618,0.0000094641,0.0026148285
1784079535122105344,-6.438435385,-2.793094765,-0.161726741,0.143909795,0.034248722,0.005710361,-0.988981490,0.0000037503,0.0000002511,-0.0000278133,0.0000019186,-0.0000005655,0.0003994442,0.0058263089,-0.0071364269,0.0000207917,0.0191565173,0.0000095780,0.0026172123
1784079535188607488,-6.583456636,-2.814669234,-0.163525471,0.136505809,0.035452624,0.006804730,-0.989981298,0.0000039248,0.0000003263,-0.0000290726,0.0000019206,-0.0000016028,0.0003992744,0.0058830192,-0.0073604862,0.0000202136,0.0199128246,0.0000095051,0.0026192937
1784079535255428608,-6.734533618,-2.835417694,-0.167296318,0.129186137,0.035120550,0.007372366,-0.990970805,0.0000038688,0.0000003667,-0.0000287379,0.0000019263,-0.0000022140,0.0003993380,0.0059318314,-0.0075778693,0.0000196456,0.0207042512,0.0000095309,0.0026214833
1784079535322049280,-6.887046632,-2.854774377,-0.172376485,0.122097362,0.035618185,0.007024720,-0.991853937,0.0000038923,0.0000003585,-0.0000289554,0.0000019085,-0.0000021219,0.0003993286,0.0059745252,-0.0077948964,0.0000190943,0.0215296253,0.0000091212,0.0026231631
1784079535388507392,-7.044722257,-2.870668331,-0.176455051,0.115243527,0.035785423,0.007017318,-0.992667664,0.0000039144,0.0000003700,-0.0000291685,0.0000018935,-0.0000023034,0.0003993174,0.0060200368,-0.0080226125,0.0000187995,0.0224014405,0.0000089772,0.0026250768
