u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.3912,0.7601,-0.0175,0.0064,56.6370,-61.5444,0.0000,-0.0539,-0.0539,0.0470,0.0000,0.0000,0.0039,0.0015,0.0000
0.2000,0.6509,0.7801,-0.0237,0.0041,56.5751,-61.5512,0.0000,-0.0471,-0.0471,0.0377,0.0000,0.0000,0.0025,0.0010,0.0000
0.1999,0.7249,0.8001,-0.0314,0.0041,56.5120,-61.5611,0.0000,-0.0404,-0.0404,0.0379,0.0000,0.0000,0.0025,0.0010,0.0000
0.2000,0.6180,0.8201,-0.0321,0.0041,56.4470,-61.5681,0.0000,-0.0398,-0.0398,0.0366,0.0000,0.0000,0.0025,0.0010,0.0000
0.2000,0.6328,0.8401,-0.0353,0.0041,56.3809,-61.5807,0.0000,-0.0317,-0.0317,0.0358,0.0000,0.0000,0.0025,0.0010,0.0000
0.2000,0.6485,0.8601,-0.0368,0.0041,56.3065,-61.5909,0.0000,-0.0270,-0.0270,0.0333,0.0000,0.0000,0.0025,0.0010,0.0000
0.2000,0.6664,0.8801,-0.0366,0.0041,56.2369,-61.5947,0.0000,-0.0279,-0.0279,0.0327,0.0000,0.0000,0.0025,0.0010,0.0000
0.2000,0.7445,0.9001,-0.0337,0.0041,56.1643,-61.5981,0.0000,-0.0292,-0.0292,0.0303,0.0000,0.0000,0.0025,0.0010,0.0000
0.2000,0.6914,0.9201,-0.0290,0.0041,56.0873,-61.6041,0.0000,-0.0298,-0.0298,0.0275,0.0000,0.0000,0.0025,0.0010,0.0000
0.2000,0.7214,0.9401,-0.0234,0.0041,56.0004,-61.6095,0.0000,-0.0308,-0.0308,0.0248,0.0000,0.0000,0.0025,0.0010,0.0000
0.2000,0.7659,0.9601,-0.0150,0.0100,55.9155,-61.6181,0.0000,-0.0299,-0.0299,0.0079,0.0000,0.0000,0.0061,0.0024,0.0000
0.2000,0.8639,0.9801,-0.0066,0.0100,55.8468,-61.6237,0.0000,-0.0294,-0.0294,0.0085,0.0000,0.0000,0.0061,0.0024,0.0000
0.2000,0.6835,1.0001,0.0017,0.0100,55.7498,-61.6342,0.0000,-0.0288,-0.0288,0.0039,0.0000,0.0000,0.0061,0.0024,0.0000
0.2000,0.6835,1.0201,0.0101,0.0100,55.6730,-61.6391,0.0000,-0.0301,-0.0301,0.0043,0.0000,0.0000,0.0061,0.0024,0.0000
0.2000,0.6835,1.0401,0.0139,0.0100,55.5976,-61.6509,0.0000,-0.0244,-0.0244,0.0049,0.0000,0.0000,0.0061,0.0024,0.0000
0.2000,0.7572,1.0601,0.0189,0.0100,55.5027,-61.6575,0.0000,-0.0261,-0.0261,0.0025,0.0000,0.0000,0.0061,0.0024,0.0000
0.2000,0.7572,1.0801,0.0194,0.0100,55.4038,-61.6672,0.0000,-0.0242,-0.0242,0.0040,0.0000,0.0000,0.0061,0.0024,0.0000
0.2000,0.7572,1.1001,0.0161,0.0100,55.3236,-61.6769,0.0000,-0.0202,-0.0202,0.0071,0.0000,0.0000,0.0061,0.0024,0.0000
0.2000,0.9852,1.1201,0.0161,0.0016,55.2209,-61.6917,0.0000,-0.0167,-0.0167,-0.0171,0.0000,0.0000,0.0010,0.0004,0.0000
0.2000,0.8011,1.1401,0.0245,0.0016,55.1361,-61.6973,0.0000,-0.0176,-0.0176,-0.0132,0.0000,0.0000,0.0010,0.0004,0.0000
0.2000,1.0289,1.1601,0.0328,0.0016,55.0581,-61.7061,0.0000,-0.0175,-0.0175,-0.0114,0.0000,0.0000,0.0010,0.0004,0.0000
0.2000,0.8422,1.1801,0.0351,0.0016,54.9578,-61.7103,0.0000,-0.0237,-0.0237,-0.0135,0.0000,0.0000,0.0010,0.0004,0.0000
0.2000,0.7778,1.2001,0.0340,0.0021,54.8706,-61.7123,0.0000,-0.0290,-0.0290,-0.0085,0.0000,0.0000,0.0013,0.0005,0.0000
0.1999,0.8633,1.2201,0.0341,0.0021,54.7637,-61.7266,0.0000,-0.0263,-0.0263,-0.0088,0.0000,0.0000,0.0013,0.0005,0.0000
0.1999,0.8633,1.2401,0.0283,0.0021,54.6748,-61.7358,0.0000,-0.0247,-0.0247,-0.0034,0.0000,0.0000,0.0013,0.0005,0.0000
0.2000,0.8633,1.2601,0.0367,0.0204,54.5571,-61.7575,0.0000,-0.0142,-0.0142,0.0279,0.0000,0.0000,0.0123,0.0049,0.0000
0.2000,0.8864,1.2801,0.0283,0.0204,54.4682,-61.7696,0.0000,-0.0067,-0.0067,0.0330,0.0000,0.0000,0.0123,0.0049,0.0000
