u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.1824,0.7762,0.7601,0.0208,0.0125,58.7769,-61.5069,0.0000,0.0152,0.0152,-0.0898,0.0000,0.0000,0.0075,0.0030,0.0000
0.2000,0.6756,0.7801,0.0292,0.0125,58.7037,-61.5118,0.0000,0.0190,0.0190,-0.0892,0.0000,0.0000,0.0075,0.0030,0.0000
0.1999,0.6406,0.8001,0.0376,0.0125,58.6223,-61.5139,0.0000,0.0163,0.0163,-0.0886,0.0000,0.0000,0.0075,0.0030,0.0000
0.1999,0.7272,0.8201,0.0456,0.0125,58.5406,-61.5142,0.0000,0.0064,0.0064,-0.0880,0.0000,0.0000,0.0075,0.0030,0.0000
0.2000,0.8074,0.8401,0.0539,0.0125,58.4543,-61.5205,0.0000,0.0029,0.0029,-0.0862,0.0000,0.0000,0.0075,0.0030,0.0000
0.2000,0.8101,0.8601,0.0623,0.0125,58.3693,-61.5220,0.0000,-0.0017,-0.0017,-0.0843,0.0000,0.0000,0.0075,0.0030,0.0000
0.2000,0.8591,0.8801,0.0707,0.0125,58.2823,-61.5260,0.0000,-0.0055,-0.0055,-0.0814,0.0000,0.0000,0.0075,0.0030,0.0000
0.1999,0.8429,0.9001,0.0691,0.0023,58.2058,-61.5254,0.0000,-0.0097,-0.0097,-0.0596,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.8644,0.9201,0.0775,0.0023,58.1264,-61.5294,0.0000,-0.0097,-0.0097,-0.0562,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.7586,0.9401,0.0859,0.0023,58.0483,-61.5303,0.0000,-0.0092,-0.0092,-0.0525,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.7884,0.9601,0.0943,0.0023,57.9696,-61.5405,0.0000,-0.0033,-0.0033,-0.0491,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.7756,0.9801,0.1026,0.0023,57.8873,-61.5426,0.0000,-0.0044,-0.0044,-0.0451,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.7883,1.0001,0.1066,0.0023,57.8014,-61.5485,0.0000,-0.0024,-0.0024,-0.0410,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.8169,1.0201,0.1048,0.0023,57.7116,-61.5534,0.0000,-0.0015,-0.0015,-0.0357,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.8544,1.0401,0.0964,0.0023,57.6240,-61.5616,0.0000,0.0033,0.0033,-0.0294,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.8928,1.0601,0.0921,0.0064,57.5197,-61.5743,0.0000,0.0123,0.0123,-0.0213,0.0000,0.0000,0.0039,0.0015,0.0000
0.1999,0.8750,1.0801,0.0838,0.0064,57.4276,-61.5835,0.0000,0.0188,0.0188,-0.0150,0.0000,0.0000,0.0039,0.0015,0.0000
0.2000,1.0456,1.1001,0.0754,0.0064,57.3324,-61.5877,0.0000,0.0192,0.0192,-0.0089,0.0000,0.0000,0.0039,0.0015,0.0000
0.1999,0.9197,1.1201,0.0670,0.0064,57.2365,-61.5968,0.0000,0.0260,0.0260,-0.0025,0.0000,0.0000,0.0039,0.0015,0.0000
0.1999,0.9453,1.1401,0.0586,0.0064,57.1245,-61.6163,0.0000,0.0411,0.0411,0.0024,0.0000,0.0000,0.0039,0.0015,0.0000
0.1999,0.9565,1.1601,0.0502,0.0064,57.0283,-61.6269,0.0000,0.0485,0.0485,0.0080,0.0000,0.0000,0.0039,0.0015,0.0000
0.2000,1.1302,1.1801,0.0418,0.0041,56.9302,-61.6421,0.0000,0.0608,0.0608,0.0048,0.0000,0.0000,0.0025,0.0010,0.0000
0.1999,0.9609,1.2001,0.0336,0.0041,56.8295,-61.6521,0.0000,0.0655,0.0655,0.0091,0.0000,0.0000,0.0025,0.0010,0.0000
