u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0001,0.0201,-0.0084,-0.0116,-5.6507,95.9409,0.0000,0.0086,0.0086,0.0164,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0001,0.0401,-0.0168,-0.0116,-5.6506,95.9378,0.0000,0.0087,0.0087,0.0164,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.1999,0.0001,0.0601,-0.0252,-0.0116,-5.6508,95.9392,0.0000,0.0088,0.0088,0.0165,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.1999,0.0001,0.0801,-0.0335,-0.0116,-5.6477,95.9408,0.0000,0.0056,0.0056,0.0163,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.1998,0.0001,0.1001,-0.0418,-0.0116,-5.6505,95.9418,0.0000,0.0083,0.0083,0.0162,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.1998,0.0001,0.1201,-0.0502,-0.0116,-5.6505,95.9416,0.0000,0.0083,0.0083,0.0160,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0001,0.1401,-0.0571,-0.0116,-5.6498,95.9426,0.0000,0.0075,0.0075,0.0158,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0001,0.1601,-0.0628,-0.0116,-5.6522,95.9467,0.0000,0.0096,0.0096,0.0156,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0001,0.1801,-0.0665,-0.0116,-5.6490,95.9373,0.0000,0.0071,0.0071,0.0154,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0001,0.2001,-0.0678,-0.0116,-5.6425,95.9432,0.0000,0.0002,0.0002,0.0148,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.1998,0.0981,0.2201,-0.0723,-0.0116,-5.6483,95.9458,0.0000,0.0066,0.0066,0.0152,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0892,0.2401,-0.0758,-0.0116,-5.6515,95.9443,0.0000,0.0098,0.0098,0.0149,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0653,0.2601,-0.0743,-0.0116,-5.6402,95.9436,0.0000,-0.0016,-0.0016,0.0142,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0001,0.2801,-0.0742,-0.0116,-5.6488,95.9449,0.0000,0.0065,0.0065,0.0148,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.1151,0.3001,-0.0753,-0.0116,-5.6519,95.9481,0.0000,0.0101,0.0101,0.0145,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0893,0.3201,-0.0738,-0.0116,-5.6467,95.9545,0.0000,0.0042,0.0042,0.0139,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0001,0.3401,-0.0728,-0.0116,-5.6513,95.9591,0.0000,0.0079,0.0079,0.0141,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0834,0.3601,-0.0712,-0.0116,-5.6492,95.9645,0.0000,0.0060,0.0060,0.0139,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0652,0.3801,-0.0703,-0.0116,-5.6540,95.9649,0.0000,0.0106,0.0106,0.0138,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0585,0.4001,-0.0690,-0.0116,-5.6550,95.9728,0.0000,0.0110,0.0110,0.0133,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0001,0.4201,-0.0674,-0.0116,-5.6569,95.9830,0.0000,0.0118,0.0118,0.0128,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.0788,0.4401,-0.0656,-0.0116,-5.6581,95.9970,0.0000,0.0125,0.0125,0.0121,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.1026,0.4601,-0.0632,-0.0116,-5.6607,96.0194,0.0000,0.0135,0.0135,0.0107,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.1397,0.4801,-0.0614,-0.0116,-5.6652,96.0415,0.0000,0.0167,0.0167,0.0103,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.1999,0.2232,0.5001,-0.0586,-0.0116,-5.6634,96.0734,0.0000,0.0128,0.0128,0.0083,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.2238,0.5201,-0.0561,-0.0116,-5.6692,96.0974,0.0000,0.0168,0.0168,0.0077,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.1999,0.3182,0.5401,0.0000,-0.0116,-5.6645,96.1344,0.0000,0.0095,0.0095,0.0053,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.2442,0.5601,0.0000,-0.0116,-5.6634,96.1733,0.0000,0.0054,0.0054,0.0039,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.3724,0.5801,-0.0084,-0.0116,-5.6715,96.2067,0.0000,0.0112,0.0112,0.0030,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.3865,0.6001,0.0000,-0.0116,-5.6709,96.2492,0.0000,0.0072,0.0072,0.0008,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.3395,0.6201,0.0000,-0.0116,-5.6744,96.2942,0.0000,0.0073,0.0073,-0.0000,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.4232,0.6401,0.0000,-0.0116,-5.6750,96.3478,0.0000,0.0039,0.0039,-0.0009,0.0000,0.0000,-0.0070,-0.0028,0.0000
0.2000,0.4475,0.6601,0.0084,0.0006,-5.6780,96.3914,0.0000,0.0036,0.0036,-0.0146,0.0000,0.0000,0.0004,0.0001,0.0000
0.2000,0.5311,0.6801,0.0168,0.0006,-5.6885,96.4462,0.0000,0.0086,0.0086,-0.0154,0.0000,0.0000,0.0004,0.0001,0.0000
0.2000,0.4338,0.7001,0.0221,0.0006,-5.6876,96.5024,0.0000,0.0037,0.0037,-0.0155,0.0000,0.0000,0.0004,0.0001,0.0000
0.2000,0.5573,0.7201,0.0235,0.0006,-5.6988,96.5643,0.0000,0.0088,0.0088,-0.0147,0.0000,0.0000,0.0004,0.0001,0.0000
0.2000,0.5573,0.7401,0.0226,0.0006,-5.7058,96.6301,0.0000,0.0104,0.0104,-0.0142,0.0000,0.0000,0.0004,0.0001,0.0000
0.2000,0.5573,0.7601,0.0185,0.0006,-5.7147,96.6879,0.0000,0.0147,0.0147,-0.0128,0.0000,0.0000,0.0004,0.0001,0.0000
0.1998,0.6561,0.7801,0.0132,0.0006,-5.7226,96.7445,0.0000,0.0175,0.0175,-0.0120,0.0000,0.0000,0.0004,0.0001,0.0000
0.2000,0.5808,0.8001,0.0095,0.0006,-5.7309,96.8184,0.0000,0.0200,0.0200,-0.0117,0.0000,0.0000,0.0004,0.0001,0.0000
0.2000,0.5662,0.8201,0.0069,0.0006,-5.7366,96.8927,0.0000,0.0197,0.0197,-0.0108,0.0000,0.0000,0.0004,0.0001,0.0000
0.2000,0.7378,0.8401,-0.0015,0.0006,-5.7530,96.9616,0.0000,0.0298,0.0298,-0.0093,0.0000,0.0000,0.0004,0.0001,0.0000
0.2000,0.7387,0.8601,-0.0099,0.0006,-5.7688,97.0398,0.0000,0.0389,0.0389,-0.0094,0.0000,0.0000,0.0004,0.0001,0.0000
0.1999,0.7030,0.8801,-0.0079,0.0109,-5.7792,97.1130,0.0000,0.0438,0.0438,0.0111,0.0000,0.0000,0.0066,0.0026,0.0000
0.1999,0.7338,0.9001,-0.0163,0.0109,-5.7820,97.2002,0.0000,0.0408,0.0408,0.0105,0.0000,0.0000,0.0066,0.0026,0.0000
0.2000,0.7338,0.9201,-0.0247,0.0109,-5.7907,97.2804,0.0000,0.0442,0.0442,0.0103,0.0000,0.0000,0.0066,0.0026,0.0000
0.2000,0.8650,0.9401,-0.0331,0.0109,-5.8002,97.3592,0.0000,0.0492,0.0492,0.0103,0.0000,0.0000,0.0066,0.0026,0.0000
0.1999,0.7990,0.9601,-0.0415,0.0109,-5.8159,97.4426,0.0000,0.0586,0.0586,0.0092,0.0000,0.0000,0.0066,0.0026,0.0000
0.1999,0.7873,0.9801,-0.0499,0.0094,-5.8178,97.5302,0.0000,0.0537,0.0537,0.0066,0.0000,0.0000,0.0056,0.0023,0.0000
0.1999,0.8407,1.0001,-0.0583,0.0094,-5.8300,97.6093,0.0000,0.0601,0.0601,0.0048,0.0000,0.0000,0.0056,0.0023,0.0000
0.2000,0.8694,1.0201,-0.0636,0.0094,-5.8358,97.6959,0.0000,0.0588,0.0588,0.0015,0.0000,0.0000,0.0056,0.0023,0.0000
0.1999,0.7931,1.0401,-0.0609,0.0094,-5.8422,97.7827,0.0000,0.0582,0.0582,-0.0016,0.0000,0.0000,0.0056,0.0023,0.0000
0.1999,0.8609,1.0601,-0.0529,0.0094,-5.8413,97.8754,0.0000,0.0497,0.0497,-0.0053,0.0000,0.0000,0.0056,0.0023,0.0000
0.2000,0.8625,1.0801,-0.0458,0.0080,-5.8369,97.9734,0.0000,0.0370,0.0370,-0.0120,0.0000,0.0000,0.0048,0.0019,0.0000
0.2000,0.9204,1.1001,-0.0374,0.0080,-5.8550,98.0640,0.0000,0.0469,0.0469,-0.0154,0.0000,0.0000,0.0048,0.0019,0.0000
0.2000,0.9751,1.1201,-0.0291,0.0080,-5.8415,98.1571,0.0000,0.0243,0.0243,-0.0203,0.0000,0.0000,0.0048,0.0019,0.0000
0.2000,0.9132,1.1401,-0.0207,0.0080,-5.8458,98.2603,0.0000,0.0206,0.0206,-0.0239,0.0000,0.0000,0.0048,0.0019,0.0000
0.2000,0.9381,1.1601,-0.0183,0.0022,-5.8578,98.3622,0.0000,0.0238,0.0238,-0.0270,0.0000,0.0000,0.0013,0.0005,0.0000
0.1999,1.0243,1.1801,-0.0099,0.0022,-5.8697,98.4477,0.0000,0.0278,0.0278,-0.0287,0.0000,0.0000,0.0013,0.0005,0.0000
