x,y,z
204.704,166.124,13.468
205.375,165.886,13.480
206.012,165.643,13.506
206.648,165.386,13.496
207.284,165.111,13.504
207.897,164.837,13.519
208.529,164.538,13.527
209.135,164.240,13.548
209.734,163.930,13.523
210.327,163.613,13.528
210.908,163.277,13.513
211.509,162.931,13.532
212.103,162.595,13.526
212.683,162.245,13.518
213.242,161.906,13.538
213.799,161.565,13.538
214.320,161.186,13.570
214.899,160.850,13.504
215.424,160.483,13.492
215.944,160.165,13.483
216.506,159.793,13.459
217.041,159.435,13.468
217.579,159.082,13.470
218.148,158.677,13.479
218.716,158.284,13.423
219.284,157.880,13.452
219.823,157.482,13.464
220.373,157.083,13.453
220.941,156.666,13.448
221.506,156.256,13.448
222.078,155.825,13.426
222.639,155.405,13.407
223.215,154.980,13.424
223.788,154.565,13.413
224.363,154.136,13.394
224.958,153.707,13.397
225.553,153.282,13.395
226.132,152.859,13.404
226.737,152.420,13.406
227.348,151.967,13.403
227.974,151.515,13.402
228.621,151.049,13.383
229.241,150.584,13.389
229.847,150.118,13.367
230.465,149.676,13.380
231.103,149.206,13.370
231.725,148.733,13.384
232.374,148.262,13.370
233.030,147.770,13.336
233.682,147.277,13.336
234.323,146.801,13.321
234.972,146.321,13.344
235.629,145.866,13.330
236.295,145.389,13.314
236.966,144.924,13.326
237.634,144.461,13.319
238.299,143.986,13.312
238.993,143.490,13.299
239.680,143.004,13.279
240.337,142.530,13.295
241.019,142.042,13.269
241.700,141.558,13.287
242.375,141.075,13.277
243.036,140.607,13.279
243.702,140.135,13.274
244.379,139.651,13.279
245.044,139.189,13.274
245.703,138.728,13.293
246.363,138.272,13.291
247.021,137.812,13.300
247.691,137.350,13.294
248.343,136.882,13.290
248.993,136.432,13.308
249.649,135.977,13.307
250.319,135.516,13.319
250.962,135.077,13.315
251.631,134.605,13.318
252.291,134.153,13.326
252.922,133.714,13.341
253.619,133.246,13.358
254.276,132.807,13.354
254.954,132.357,13.352
255.634,131.906,13.352
256.283,131.441,13.357
256.940,130.997,13.359
257.612,130.547,13.389
258.251,130.099,13.382
258.916,129.674,13.362
259.539,129.236,13.332
260.156,128.780,13.351
260.792,128.333,13.330
261.408,127.873,13.331
262.034,127.428,13.320
262.653,126.969,13.283
263.301,126.499,13.274
263.956,125.998,13.260
264.601,125.495,13.262
265.248,125.020,13.222
265.886,124.525,13.212
266.523,124.042,13.208
267.153,123.566,13.182
267.783,123.083,13.173
268.403,122.629,13.178
269.035,122.171,13.164
269.643,121.723,13.157
270.270,121.262,13.157
270.886,120.798,13.138
271.520,120.332,13.126
272.147,119.856,13.129
272.767,119.389,13.124
273.388,118.901,13.128
274.013,118.427,13.101
274.622,117.951,13.095
275.234,117.477,13.082
275.861,117.041,13.074
276.452,116.584,13.098
277.049,116.153,13.054
277.618,115.714,13.058
278.200,115.300,13.079
278.769,114.875,13.094
279.345,114.443,13.094
279.936,114.013,13.107
280.519,113.576,13.113
281.102,113.145,13.117
281.679,112.725,13.127
282.267,112.306,13.149
282.846,111.897,13.162
283.427,111.463,13.168
284.008,111.052,13.132
284.583,110.649,13.132
285.153,110.276,13.157
285.711,109.907,13.130
286.246,109.534,13.125
286.786,109.157,13.126
287.298,108.803,13.119
287.796,108.460,13.127
288.285,108.135,13.118
288.749,107.811,13.114
289.187,107.487,13.126
289.630,107.180,13.116
290.047,106.889,13.116
290.456,106.597,13.129
290.860,106.299,13.125
291.448,105.888,13.130
292.013,105.496,13.111
292.551,105.111,13.099
293.053,104.757,13.099
293.536,104.400,13.094
293.982,104.085,13.097
294.495,103.720,13.093
294.915,103.423,13.094
295.362,103.115,13.092
295.773,102.828,13.106
296.231,102.497,13.110
296.701,102.172,13.104
297.193,101.840,13.106
297.659,101.527,13.103
298.106,101.222,13.114
298.525,100.933,13.129
298.925,100.630,13.088
299.375,100.345,13.102
299.791,100.050,13.108
300.266,99.727,13.115
300.695,99.454,13.101
301.180,99.119,13.122
301.734,98.752,13.130
302.217,98.419,13.134
302.730,98.070,13.130
303.291,97.698,13.123
303.894,97.296,13.127
304.327,97.025,13.137
304.772,96.728,13.153
305.245,96.433,13.161
305.731,96.139,13.170
306.220,95.834,13.177
306.744,95.524,13.192
307.306,95.211,13.197
307.881,94.904,13.210
308.454,94.601,13.222
309.045,94.292,13.244
309.661,93.990,13.246
310.308,93.683,13.275
310.947,93.374,13.295
311.609,93.061,13.295
312.290,92.755,13.317
312.975,92.465,13.344
313.628,92.181,13.375
314.295,91.908,13.394
314.967,91.648,13.413
315.640,91.408,13.419
316.320,91.169,13.431
317.009,90.939,13.450
317.673,90.715,13.471
318.382,90.475,13.493
319.079,90.271,13.499
319.802,90.075,13.518
320.506,89.881,13.544
321.211,89.702,13.552
321.923,89.527,13.572
322.652,89.362,13.591
323.379,89.205,13.612
324.126,89.057,13.645
324.872,88.921,13.669
325.619,88.785,13.699
326.384,88.672,13.729
327.170,88.562,13.750
327.966,88.482,13.786
328.748,88.407,13.804
329.557,88.352,13.855
330.328,88.307,13.877
331.116,88.248,13.905
331.937,88.206,13.939
332.734,88.162,13.980
333.540,88.109,14.018
334.339,88.063,14.055
335.157,88.018,14.107
335.979,87.980,14.160
336.801,87.944,14.200
337.609,87.916,14.235
338.407,87.879,14.279
339.214,87.852,14.315
340.046,87.824,14.359
340.864,87.801,14.397
341.667,87.776,14.448
342.476,87.774,14.471
343.297,87.761,14.520
344.096,87.744,14.560
344.911,87.736,14.601
345.703,87.701,14.680
346.517,87.686,14.724
347.319,87.665,14.766
348.103,87.645,14.785
348.888,87.610,14.830
349.663,87.580,14.879
350.444,87.563,14.915
351.192,87.522,14.964
351.953,87.475,15.021
352.708,87.434,15.079
353.459,87.394,15.098
354.214,87.324,15.120
354.960,87.293,15.156
355.712,87.236,15.200
356.482,87.189,15.229
357.257,87.149,15.246
358.021,87.101,15.297
358.787,87.078,15.332
359.557,87.049,15.374
360.328,87.028,15.413
361.094,86.988,15.468
361.866,86.952,15.503
362.621,86.911,15.552
363.377,86.862,15.594
364.145,86.825,15.630
364.906,86.767,15.675
365.674,86.737,15.718
366.431,86.700,15.715
367.217,86.651,15.756
367.998,86.603,15.801
368.773,86.509,15.842
369.576,86.455,15.891
370.353,86.394,15.959
371.118,86.349,15.973
371.888,86.297,15.996
372.654,86.252,16.042
373.390,86.194,16.158
374.127,86.174,16.203
374.869,86.140,16.209
375.611,86.106,16.239
376.344,86.069,16.284
377.047,86.034,16.329
377.778,85.998,16.361
378.508,85.964,16.408
379.222,85.953,16.456
379.943,85.955,16.486
380.648,85.946,16.558
381.348,85.923,16.580
382.053,85.915,16.640
382.746,85.910,16.680
383.437,85.929,16.729
384.141,85.930,16.770
384.827,85.944,16.808
385.520,85.927,16.854
386.234,85.905,16.892
386.954,85.859,16.948
387.679,85.793,16.978
388.376,85.709,17.033
389.086,85.606,17.062
389.797,85.479,17.106
390.457,85.335,17.150
391.132,85.215,17.195
391.796,85.037,17.240
392.435,84.869,17.292
393.082,84.678,17.338
393.746,84.477,17.376
394.374,84.250,17.423
395.022,84.004,17.451
395.656,83.763,17.479
396.306,83.500,17.525
396.931,83.188,17.539
397.559,82.887,17.566
398.168,82.569,17.605
398.762,82.203,17.631
399.336,81.846,17.646
399.905,81.456,17.708
400.472,81.053,17.669
401.029,80.647,17.717
401.562,80.193,17.764
402.059,79.761,17.803
402.553,79.268,17.802
402.980,78.776,17.817
403.407,78.262,17.839
403.830,77.775,17.875
404.216,77.240,17.882
404.587,76.680,17.911
404.949,76.080,17.910
405.294,75.486,17.930
405.552,74.861,17.948
405.836,74.281,17.937
406.102,73.654,17.951
406.329,72.971,17.949
406.522,72.306,17.961
406.681,71.621,17.935
406.819,70.921,17.946
406.918,70.226,17.930
406.966,69.553,17.918
406.998,68.836,17.922
406.991,68.125,17.890
406.994,67.478,17.894
406.933,66.806,17.864
406.882,66.084,17.858
406.787,65.395,17.809
406.680,64.697,17.789
406.550,63.994,17.755
406.382,63.322,17.728
406.199,62.646,17.675
406.014,61.962,17.646
405.771,61.320,17.602
405.549,60.674,17.599
405.308,60.003,17.584
405.018,59.423,17.535
404.794,58.782,17.478
404.470,58.166,17.432
404.154,57.559,17.412
403.795,56.940,17.393
403.212,56.000,17.064
402.871,55.305,17.216
402.435,54.734,17.127
402.041,54.169,17.104
401.618,53.600,17.040
401.188,53.001,17.001
400.772,52.396,16.976
400.324,51.831,16.904
399.872,51.241,16.849
399.457,50.697,16.869
399.024,50.154,16.697
398.540,49.607,16.738
398.041,49.040,16.646
397.550,48.487,16.582
397.012,47.924,16.538
396.515,47.374,16.500
395.966,46.825,16.439
395.438,46.266,16.377
394.875,45.744,16.352
394.373,45.205,16.253
393.816,44.695,16.201
393.305,44.186,16.109
392.763,43.690,16.083
392.277,43.162,16.036
391.716,42.641,15.981
391.166,42.096,15.931
390.627,41.600,15.890
390.086,41.084,15.830
389.568,40.593,15.775
389.016,40.103,15.710
388.476,39.598,15.636
387.919,39.090,15.570
387.363,38.558,15.503
386.832,38.027,15.446
386.281,37.496,15.383
385.752,36.986,15.333
385.218,36.503,15.280
384.648,35.982,15.191
384.013,35.461,15.156
383.437,34.941,15.129
382.855,34.391,15.060
382.321,33.877,15.004
381.802,33.360,14.940
381.259,32.804,14.863
380.724,32.281,14.820
380.189,31.760,14.743
379.655,31.233,14.677
379.110,30.676,14.614
378.572,30.143,14.562
378.052,29.608,14.537
377.503,29.081,14.467
376.941,28.588,14.361
376.397,28.079,14.310
375.834,27.520,14.237
375.295,26.967,14.176
374.750,26.429,14.111
374.194,25.862,14.025
373.591,25.311,13.963
373.012,24.731,13.888
372.463,24.169,13.831
371.926,23.631,13.778
371.340,23.086,13.690
370.777,22.572,13.617
370.210,22.065,13.567
369.650,21.548,13.507
369.088,21.023,13.460
368.545,20.509,13.391
367.976,20.012,13.322
367.391,19.499,13.274
366.814,18.975,13.226
366.234,18.490,13.170
365.648,17.954,13.093
365.076,17.454,12.995
364.496,16.929,13.004
363.851,16.433,12.776
363.298,15.919,12.871
362.703,15.419,12.750
362.134,14.937,12.688
361.580,14.516,12.679
360.973,13.997,12.608
360.358,13.471,12.538
359.756,12.953,12.470
359.165,12.454,12.395
358.563,11.967,12.350
357.992,11.479,12.329
357.426,11.008,12.245
356.858,10.543,12.112
356.289,10.079,12.074
355.788,9.646,12.014
355.220,9.176,11.970
354.700,8.786,11.881
354.199,8.377,11.852
353.664,7.921,11.801
353.145,7.459,11.713
352.607,7.023,11.673
