"x","y"
143.38,-63.822
143.935,-63.9
144.503,-64.003
145.062,-64.063
145.644,-64.183
146.232,-64.259
146.825,-64.368
147.405,-64.472
147.982,-64.562
148.563,-64.679
149.139,-64.748
149.724,-64.887
150.297,-64.957
150.876,-65.07
151.455,-65.179
152.04,-65.289
152.614,-65.4
153.187,-65.501
153.765,-65.605
154.339,-65.707
154.921,-65.812
155.492,-65.914
156.077,-66.02
156.646,-66.129
157.188,-66.214
157.735,-66.305
158.281,-66.379
158.828,-66.468
159.377,-66.553
159.92,-66.636
160.472,-66.719
161.018,-66.794
161.556,-66.866
162.103,-66.939
162.646,-67.019
163.194,-67.091
163.725,-67.168
164.279,-67.235
164.829,-67.306
165.383,-67.374
165.949,-67.449
166.516,-67.518
167.072,-67.586
167.62,-67.663
168.183,-67.741
168.73,-67.813
169.272,-67.871
169.834,-67.943
170.385,-68.027
170.905,-68.079
171.446,-68.151
172.005,-68.227
172.562,-68.304
173.115,-68.356
173.671,-68.415
174.218,-68.502
174.744,-68.537
175.259,-68.594
175.79,-68.66
176.323,-68.729
176.872,-68.784
177.377,-68.844
177.984,-68.934
178.598,-69.001
179.211,-69.078
179.814,-69.144
180.324,-69.171
180.934,-69.228
181.444,-69.262
181.951,-69.291
182.576,-69.321
183.09,-69.337
183.622,-69.362
184.128,-69.37
184.639,-69.381
185.162,-69.392
185.701,-69.391
186.242,-69.362
186.799,-69.379
187.358,-69.348
187.912,-69.353
188.469,-69.318
189.022,-69.313
189.581,-69.283
190.134,-69.27
190.696,-69.264
191.279,-69.25
191.853,-69.232
192.419,-69.209
192.977,-69.207
193.552,-69.183
194.124,-69.155
194.706,-69.142
195.272,-69.106
195.84,-69.083
196.432,-69.052
197.015,-69.025
197.631,-68.986
198.248,-68.962
198.866,-68.951
199.463,-68.873
200.025,-68.875
200.562,-68.81
201.087,-68.754
201.619,-68.733
202.148,-68.691
202.73,-68.648
203.318,-68.607
203.932,-68.576
204.55,-68.541
205.127,-68.516
205.738,-68.472
206.336,-68.449
206.942,-68.418
207.514,-68.377
208.082,-68.33
208.63,-68.298
209.156,-68.271
209.7,-68.215
210.222,-68.175
210.762,-68.161
211.331,-68.135
211.901,-68.074
212.445,-68.041
212.979,-68.005
213.531,-67.983
214.072,-67.949
214.609,-67.883
215.159,-67.843
215.71,-67.785
216.263,-67.75
216.813,-67.712
217.358,-67.655
217.917,-67.617
218.473,-67.562
219.03,-67.499
219.589,-67.455
220.163,-67.382
220.744,-67.324
221.28,-67.272
221.823,-67.215
222.348,-67.165
222.861,-67.105
223.363,-67.055
